,0
0,365
1,147
2,198
3,135
4,353
5,265
6,358
7,199
8,368
9,337
10,259
11,395
12,319
13,253
14,324
15,314
16,450
17,155
18,391
19,297
20,354
21,321
22,122
23,131
24,416
25,371
26,262
27,325
28,188
29,222
30,344
31,312
32,165
33,382
34,474
35,271
36,147
37,241
38,342
39,147
40,255
41,293
42,461
43,402
44,179
45,181
46,222
47,443
48,288
49,274
50,423
51,221
52,359
53,463
54,221
55,242
56,147
57,110
58,423
59,180
60,420
61,189
62,443
63,332
64,222
65,202
66,447
67,335
68,480
69,204
70,465
71,457
72,193
73,204
74,272
75,174
76,352
77,305
78,327
79,371
80,342
81,154
82,432
83,82
84,179
85,242
86,178
87,402
88,120
89,142
90,236
91,404
92,365
93,194
94,424
95,336
96,317
97,368
98,441
99,258
100,233
101,244
102,425
103,272
104,104
105,128
106,185
107,464
108,321
109,442
110,441
111,164
112,359
113,71
114,370
115,254
116,370
117,230
118,295
119,434
120,344
121,451
122,479
123,279
124,271
125,402
126,213
127,399
128,405
129,158
130,265
131,346
132,332
133,431
134,409
135,157
136,160
137,305
138,293
139,167
140,378
141,287
142,228
143,274
144,124
145,390
146,203
147,182
148,198
149,429
150,285
151,375
152,283
153,320
154,245
155,411
156,368
157,108
158,345
159,268
160,283
161,305
162,147
163,298
164,459
165,232
166,279
167,273
168,286
169,272
170,239
171,217
172,368
173,230
174,135
175,412
176,282
177,461
178,449
179,247
180,252
181,259
182,227
183,181
184,300
185,268
186,191
187,136
188,229
189,162
190,376
191,400
192,228
193,357
194,186
195,247
196,389
197,323
198,286
199,285
200,200
201,268
202,296
203,440
204,218
205,297
206,236
207,276
208,319
209,471
210,269
211,262
212,199
213,438
214,153
215,189
216,309
217,431
218,385
219,246
220,355
221,321
222,196
223,342
224,378
225,303
226,315
227,311
228,367
229,420
230,171
231,114
232,407
233,167
234,422
235,447
236,349
237,195
238,391
239,287
240,409
241,129
242,271
243,314
244,245
245,221
246,213
247,131
248,121
249,388
250,442
251,417
252,364
253,388
254,396
255,160
256,304
257,406
258,407
259,449
260,342
261,215
262,196
263,271
264,270
265,287
266,280
267,298
268,128
269,310
270,299
271,309
272,198
273,244
274,361
275,370
276,471
277,237
278,378
279,239
280,248
281,168
282,215
283,172
284,327
285,261
286,298
287,437
288,235
289,355
290,370
291,199
292,294
293,263
294,291
295,359
296,419
297,355
298,375
299,235
300,347
301,266
302,246
303,193
304,190
305,391
306,344
307,240
308,411
309,100
310,245
311,378
312,230
313,293
314,275
315,125
316,389
317,115
318,237
319,438
320,426
321,254
322,125
323,187
324,320
325,417
326,392
327,191
328,200
329,245
330,439
331,327
332,332
333,112
334,373
335,295
336,370
337,295
338,181
339,195
340,279
341,428
342,247
343,263
344,464
345,380
346,147
347,109
348,359
349,460
350,277
351,416
352,477
353,129
354,329
355,295
356,278
357,374
358,437
359,254
360,382
361,358
362,274
363,400
364,388
365,450
366,406
367,157
368,422
369,231
370,466
371,260
372,198
373,402
374,355
375,331
376,250
377,377
378,296
379,270
380,359
381,190
382,295
383,399
384,228
385,423
386,313
387,237
388,368
389,247
390,343
391,452
392,338
393,320
394,456
395,121
396,236
397,334
398,248
399,387
400,267
401,141
402,102
403,197
404,335
405,340
406,300
407,395
408,347
409,235
410,307
411,132
412,310
413,234
414,177
415,281
416,131
417,97
418,305
419,274
420,180
421,243
422,272
423,277
424,258
425,354
426,430
427,294
428,458
429,194
430,304
431,382
432,289
433,270
434,462
435,280
436,396
437,359
438,302
439,400
440,124
441,450
442,293
443,364
444,404
445,224
446,368
447,362
448,325
449,300
450,271
451,123
452,289
453,188
454,214
455,154
456,143
457,237
458,209
459,218
460,77
461,472
462,295
463,271
464,287
465,303
466,317
467,140
468,171
469,217
470,315
471,299
472,417
473,435
474,378
475,452
476,259
477,434
478,374
479,408
480,421
481,135
482,281
483,359
484,271
485,422
486,246
487,394
488,387
489,280
490,347
491,128
492,286
493,407
494,241
495,221
496,294
497,192
498,275
499,261
500,365
501,234
502,223
503,271
504,387
505,349
506,476
507,343
508,136
509,296
510,246
511,378
