,0
0,0.5422859
1,0.33951652
2,0.16273066
3,0.31014204
4,0.49967122
5,0.5579915
6,0.38012075
7,0.4653315
8,0.21224913
9,0.4066838
10,0.5095547
11,0.33474827
12,0.27581668
13,0.27037108
14,0.27439868
15,0.47076458
16,0.5154269
17,0.28483862
18,0.41936624
19,0.43108162
20,0.20733562
21,0.3567587
22,0.35756218
23,0.19249989
24,0.3229233
25,0.23753914
26,0.24491939
27,0.3124891
28,0.30829957
29,0.44854507
30,0.28454387
31,0.23609878
32,0.28645802
33,0.42712158
34,0.41436464
35,0.22548641
36,0.24121556
37,0.20666371
38,0.4873322
39,0.4190011
40,0.4364668
41,0.13424197
42,0.2747152
43,0.31240338
44,0.3195719
45,0.36329055
46,0.17921916
47,0.4665246
48,0.49627736
49,0.45250925
50,0.4770414
51,0.4081846
52,0.3866046
53,0.48360437
54,0.2407079
55,0.3626523
56,0.3820847
57,0.44235274
58,0.35135034
59,0.27632207
60,0.43363127
61,0.2313408
62,0.26858646
63,0.30326897
64,0.22202942
65,0.17737794
66,0.47655082
67,0.4941498
68,0.37497044
69,0.26370537
70,0.37161386
71,0.39464003
72,0.54027784
73,0.34187979
74,0.3595383
75,0.40365702
76,0.11893511
77,0.2557293
78,0.14117742
79,0.3241647
80,0.47646573
81,0.28193834
82,0.3350458
83,0.24520974
84,0.21977478
85,0.27264363
86,0.36033303
87,0.36505237
88,0.30344707
89,0.24361949
90,0.32564235
91,0.26830336
92,0.44759583
93,0.48467597
94,0.44004667
95,0.3041472
96,0.23695633
97,0.40247768
98,0.4618119
99,0.35447297
100,0.3604421
101,0.20963958
102,0.3664513
103,0.49717
104,0.41079134
105,0.44957262
106,0.28604525
107,0.40715003
108,0.27471307
109,0.2567104
110,0.38567472
111,0.41629538
112,0.36331046
113,0.24874866
114,0.31332612
115,0.4130143
116,0.51485527
117,0.4484378
118,0.40286565
119,0.377387
120,0.21691482
121,0.40492612
122,0.47326446
123,0.22192985
124,0.42428708
125,0.36687958
126,0.16668016
127,0.4016509
128,0.4938118
129,0.1419561
130,0.1606701
131,0.270644
132,0.38611326
133,0.49749488
134,0.41488603
135,0.46209458
136,0.5032159
137,0.56499314
138,0.36859426
139,0.5392387
140,0.5224675
141,0.519956
142,0.37577194
143,0.61436033
144,0.38366598
145,0.3301102
146,0.27972525
147,0.35904205
148,0.35424292
149,0.3778602
150,0.2386589
151,0.37651086
152,0.17597935
153,0.2395493
154,0.4100098
155,0.31652805
156,0.33244455
157,0.28269297
158,0.5634708
159,0.32060397
160,0.2954844
161,0.31779835
162,0.35659355
163,0.44050634
164,0.37737215
165,0.28384995
166,0.38086772
167,0.2637143
168,0.37855986
169,0.41613555
170,0.33717823
171,0.5507509
172,0.3642748
173,0.52428657
174,0.2892925
175,0.27371565
176,0.5383762
177,0.42369163
178,0.38271978
179,0.47655994
180,0.36582386
181,0.27159485
182,0.39397973
183,0.23150712
184,0.3747397
185,0.54419124
186,0.2810081
187,0.28496963
188,0.52052975
189,0.33206567
190,0.51437265
191,0.42239785
192,0.34262654
193,0.24067855
194,0.21825129
195,0.20548236
196,0.41183025
197,0.37084174
198,0.38117844
199,0.5771902
200,0.48729327
201,0.37724623
202,0.29707217
203,0.31099486
204,0.26244175
205,0.51775867
206,0.4561636
207,0.28684503
208,0.11614718
209,0.49067032
210,0.36150002
211,0.39254028
212,0.2320692
213,0.3224849
214,0.3853272
215,0.2472632
216,0.35191062
217,0.5171176
218,0.19790357
219,0.25677723
220,0.23659271
221,0.23363599
222,0.4440717
223,0.26958665
224,0.304856
225,0.2936177
226,0.282008
227,0.4628987
228,0.33000398
229,0.4069108
230,0.39688215
231,0.43156406
232,0.42728487
233,0.2855264
234,0.5085412
235,0.20120966
236,0.40295726
237,0.20017734
238,0.48904827
239,0.45251048
240,0.3264131
241,0.31802526
242,0.5990345
243,0.3323104
244,0.28742087
245,0.37774017
246,0.45920184
247,0.16211864
248,0.4697324
249,0.41666186
250,0.39684922
251,0.32579318
252,0.39638937
253,0.31562984
254,0.20948678
255,0.3353666
256,0.38086635
257,0.6141102
258,0.46839088
259,0.22627501
260,0.36539203
261,0.36946863
262,0.16068324
263,0.43109766
264,0.25763702
265,0.30804735
266,0.3641028
267,0.3448816
268,0.37009847
269,0.2511031
270,0.47465798
271,0.2537207
272,0.31770927
273,0.44710064
274,0.22582339
275,0.43359548
276,0.4430119
277,0.14967975
278,0.2877202
279,0.40422302
280,0.23286963
281,0.41528133
282,0.35489127
283,0.2876189
284,0.272133
285,0.4524632
286,0.40330368
287,0.21715537
288,0.2677505
289,0.2546551
290,0.23595227
291,0.5715447
292,0.3086667
293,0.4711707
294,0.17684273
295,0.41048437
296,0.20544854
297,0.43144917
298,0.25856933
299,0.4641789
300,0.22674617
301,0.21028504
302,0.18374357
303,0.22168255
304,0.14273247
305,0.54289716
306,0.3217787
307,0.38637128
308,0.5357706
309,0.2878292
310,0.5247686
311,0.20556243
312,0.3851489
313,0.45268852
314,0.26746088
315,0.3254972
316,0.5244061
317,0.35217935
318,0.40700597
319,0.48312414
320,0.4222709
321,0.49967903
322,0.43395352
323,0.25349712
324,0.5844675
325,0.19090998
326,0.28560427
327,0.36623716
328,0.23844327
329,0.40556705
330,0.44125247
331,0.37818015
332,0.17338109
333,0.601717
334,0.29409215
335,0.2736994
336,0.3211947
337,0.24342965
338,0.47972128
339,0.1688888
340,0.3880259
341,0.4627768
342,0.20337257
343,0.5331757
344,0.36485606
345,0.61078155
346,0.44992328
347,0.22702104
348,0.2848184
349,0.42075372
350,0.20260337
351,0.43041033
352,0.43725827
353,0.30031994
354,0.30930054
355,0.46017548
356,0.3993079
357,0.41201362
358,0.33574414
359,0.48944026
360,0.31751668
361,0.55508995
362,0.47857887
363,0.354609
364,0.26033825
365,0.51283985
366,0.38708726
367,0.33474162
368,0.4717523
369,0.27256006
370,0.37680674
371,0.47380167
372,0.397543
373,0.49013323
374,0.42117217
375,0.12719837
376,0.47644708
377,0.33060232
378,0.15536347
379,0.39716825
380,0.43865004
381,0.17743453
382,0.4559421
383,0.3048175
384,0.1558188
385,0.21253458
386,0.5026516
387,0.3506502
388,0.4587675
389,0.22781956
390,0.49335918
391,0.31221366
392,0.5958268
393,0.56814265
394,0.39445361
395,0.40345907
396,0.28119785
397,0.3812473
398,0.52057755
399,0.3791479
400,0.34362784
401,0.26478902
402,0.40695888
403,0.33848864
404,0.379584
405,0.23196858
406,0.3380142
407,0.55875516
408,0.2094284
409,0.21945895
410,0.28597045
411,0.41444835
412,0.26294243
413,0.40707543
414,0.25400716
415,0.3128358
416,0.21914163
417,0.53344715
418,0.33890647
419,0.29046786
420,0.2855001
421,0.18124476
422,0.19688483
423,0.22215044
424,0.27127445
425,0.4054131
426,0.43479934
427,0.16728869
428,0.3961659
429,0.30464077
430,0.52202487
431,0.33672562
432,0.4142254
433,0.46626866
434,0.44018131
435,0.46107247
436,0.2509809
437,0.18894859
438,0.3979978
439,0.5555887
440,0.47387522
441,0.20140871
442,0.5323177
443,0.18163255
444,0.123867996
445,0.454891
446,0.32086322
447,0.31152374
448,0.33334702
449,0.1491072
450,0.38036495
451,0.22166531
452,0.33778894
453,0.3874876
454,0.3618475
455,0.321536
456,0.3903287
457,0.17867462
458,0.3170519
459,0.46652013
460,0.26216617
461,0.30885315
462,0.56715393
463,0.36053246
464,0.2062312
465,0.1745973
466,0.20325196
467,0.3051938
468,0.2775839
469,0.55182785
470,0.28776807
471,0.51110566
472,0.2731286
473,0.5007731
474,0.3505754
475,0.30623084
476,0.3008711
477,0.29008186
478,0.36282724
479,0.36171037
480,0.43587154
481,0.3177045
482,0.24900904
483,0.402272
484,0.34435394
485,0.32279712
486,0.33292603
487,0.39256948
488,0.29448685
489,0.51207536
490,0.49370807
491,0.18000104
492,0.15520182
493,0.17260683
494,0.25736266
495,0.35839397
496,0.1386894
497,0.1971125
498,0.40255177
499,0.21542042
500,0.31316584
501,0.23163816
502,0.26104504
503,0.23465906
504,0.5128013
505,0.32181865
506,0.38745287
507,0.39545372
508,0.34294313
509,0.11863709
510,0.25267494
511,0.1110755
