,0
0,477
1,492
2,500
3,500
4,409
5,190
6,478
7,500
8,302
9,499
10,442
11,350
12,499
13,448
14,497
15,448
16,499
17,225
18,500
19,328
20,402
21,305
22,442
23,470
24,452
25,303
26,272
27,478
28,422
29,430
30,427
31,499
32,499
33,367
34,437
35,413
36,491
37,500
38,498
39,454
40,500
41,500
42,452
43,343
44,411
45,393
46,440
47,445
48,175
49,500
50,416
51,326
52,314
53,323
54,482
55,498
56,497
57,427
58,437
59,500
60,390
61,408
62,439
63,462
64,394
65,431
66,342
67,496
68,468
69,288
70,417
71,347
72,491
73,298
74,473
75,329
76,500
77,500
78,310
79,500
80,493
81,325
82,405
83,500
84,455
85,259
86,500
87,457
88,500
89,498
90,415
91,500
92,444
93,476
94,251
95,498
96,452
97,303
98,481
99,338
100,330
101,368
102,469
103,423
104,351
105,444
106,474
107,267
108,470
109,430
110,435
111,431
112,365
113,457
114,499
115,368
116,440
117,439
118,387
119,500
120,499
121,421
122,456
123,266
124,497
125,456
126,344
127,500
128,374
129,372
130,452
131,500
132,500
133,485
134,397
135,499
136,442
137,481
138,287
139,499
140,351
141,470
142,307
143,499
144,490
145,314
146,416
147,499
148,463
149,408
150,403
151,336
152,446
153,306
154,243
155,268
156,500
157,453
158,401
159,291
160,348
161,498
162,487
163,397
164,333
165,500
166,431
167,495
168,498
169,235
170,500
171,499
172,387
173,500
174,317
175,451
176,429
177,379
178,499
179,248
180,500
181,499
182,289
183,232
184,417
185,499
186,333
187,353
188,494
189,500
190,467
191,293
192,499
193,498
194,365
195,419
196,267
197,415
198,500
199,488
200,405
201,498
202,497
203,467
204,499
205,400
206,327
207,500
208,463
209,498
210,311
211,403
212,500
213,365
214,289
215,341
216,346
217,250
218,330
219,432
220,496
221,241
222,500
223,498
224,499
225,487
226,456
227,497
228,500
229,394
230,495
231,499
232,403
233,499
234,402
235,499
236,310
237,457
238,497
239,500
240,358
241,439
242,419
243,445
244,278
245,500
246,499
247,465
248,378
249,422
250,415
251,500
252,464
253,412
254,208
255,463
256,435
257,440
258,435
259,488
260,427
261,498
262,500
263,262
264,471
265,498
266,498
267,498
268,218
269,364
270,384
271,491
272,499
273,350
274,491
275,374
276,384
277,500
278,242
279,432
280,377
281,298
282,430
283,263
284,477
285,338
286,355
287,494
288,499
289,483
290,399
291,289
292,500
293,312
294,415
295,500
296,341
297,412
298,388
299,499
300,409
301,363
302,481
303,289
304,321
305,330
306,499
307,499
308,253
309,500
310,491
311,499
312,309
313,176
314,372
315,500
316,406
317,318
318,406
319,424
320,423
321,494
322,347
323,434
324,500
325,499
326,485
327,348
328,480
329,237
330,304
331,254
332,500
333,279
334,389
335,387
336,499
337,499
338,465
339,412
340,464
341,287
342,500
343,389
344,488
345,316
346,500
347,500
348,232
349,421
350,329
351,498
352,307
353,372
354,389
355,500
356,398
357,490
358,427
359,361
360,302
361,398
362,495
363,491
364,499
365,322
366,240
367,498
368,456
369,500
370,446
371,500
372,488
373,393
374,432
375,500
376,500
377,475
378,396
379,499
380,369
381,285
382,411
383,270
384,468
385,499
386,414
387,497
388,428
389,500
390,316
391,500
392,375
393,461
394,500
395,498
396,448
397,476
398,353
399,412
400,470
401,459
402,450
403,422
404,353
405,483
406,401
407,365
408,385
409,454
410,437
411,299
412,493
413,423
414,499
415,499
416,464
417,452
418,500
419,497
420,473
421,251
422,493
423,382
424,492
425,347
426,498
427,496
428,452
429,438
430,429
431,415
432,291
433,446
434,217
435,494
436,234
437,500
438,419
439,358
440,464
441,395
442,448
443,499
444,488
445,499
446,381
447,405
448,344
449,499
450,500
451,500
452,411
453,424
454,500
455,495
456,490
457,416
458,499
459,488
460,443
461,470
462,438
463,498
464,383
465,472
466,357
467,499
468,498
469,499
470,450
471,365
472,491
473,390
474,499
475,500
476,476
477,294
478,500
479,453
480,450
481,500
482,353
483,500
484,500
485,499
486,455
487,305
488,498
489,499
490,489
491,496
492,435
493,500
494,424
495,499
496,449
497,499
498,342
499,497
500,185
501,468
502,495
503,348
504,467
505,500
506,333
507,496
508,394
509,500
510,464
511,337
