,0
0,133
1,131
2,162
3,210
4,208
5,451
6,165
7,349
8,226
9,148
10,262
11,235
12,388
13,198
14,202
15,102
16,247
17,441
18,159
19,177
20,282
21,459
22,381
23,250
24,303
25,383
26,458
27,382
28,402
29,333
30,283
31,306
32,232
33,471
34,480
35,401
36,367
37,159
38,389
39,410
40,430
41,213
42,461
43,457
44,435
45,439
46,436
47,236
48,409
49,412
50,153
51,405
52,454
53,471
54,245
55,402
56,404
57,118
58,154
59,172
60,190
61,405
62,443
63,282
64,411
65,422
66,358
67,286
68,425
69,426
70,481
71,364
72,116
73,467
74,281
75,398
76,125
77,392
78,144
79,385
80,273
81,116
82,325
83,78
84,378
85,429
86,404
87,443
88,332
89,333
90,412
91,185
92,424
93,421
94,483
95,202
96,104
97,336
98,179
99,468
100,430
101,334
102,338
103,418
104,275
105,392
106,397
107,476
108,444
109,437
110,167
111,389
112,156
113,264
114,391
115,443
116,463
117,161
118,444
119,453
120,396
121,471
122,406
123,476
124,107
125,446
126,457
127,140
128,245
129,316
130,404
131,225
132,383
133,175
134,347
135,100
136,321
137,104
138,454
139,173
140,196
141,277
142,411
143,112
144,231
145,353
146,384
147,58
148,124
149,363
150,202
151,237
152,410
153,147
154,446
155,472
156,418
157,105
158,162
159,465
160,471
161,106
162,399
163,160
164,464
165,135
166,392
167,418
168,437
169,421
170,266
171,150
172,398
173,442
174,423
175,461
176,141
177,310
178,163
179,472
180,162
181,370
182,446
183,453
184,184
185,188
186,406
187,328
188,120
189,64
190,203
191,220
192,148
193,154
194,440
195,184
196,476
197,447
198,102
199,235
200,143
201,169
202,254
203,450
204,176
205,264
206,317
207,154
208,345
209,375
210,445
211,444
212,393
213,432
214,417
215,426
216,437
217,460
218,464
219,409
220,197
221,477
222,438
223,121
224,410
225,387
226,450
227,146
228,409
229,324
230,412
231,73
232,238
233,80
234,440
235,435
236,423
237,315
238,158
239,433
240,217
241,340
242,137
243,96
244,158
245,442
246,146
247,147
248,165
249,402
250,360
251,155
252,450
253,343
254,482
255,409
256,448
257,389
258,203
259,376
260,440
261,392
262,82
263,465
264,335
265,221
266,146
267,177
268,421
269,393
270,376
271,243
272,441
273,336
274,89
275,419
276,457
277,108
278,474
279,398
280,421
281,422
282,180
283,454
284,290
285,318
286,448
287,487
288,205
289,250
290,238
291,461
292,392
293,441
294,417
295,415
296,446
297,207
298,366
299,119
300,431
301,438
302,365
303,454
304,436
305,144
306,309
307,197
308,471
309,281
310,229
311,153
312,470
313,479
314,229
315,95
316,175
317,432
318,424
319,340
320,186
321,322
322,383
323,270
324,120
325,445
326,467
327,420
328,423
329,457
330,463
331,439
332,433
333,388
334,210
335,421
336,158
337,400
338,155
339,425
340,431
341,471
342,111
343,316
344,469
345,480
346,412
347,121
348,394
349,467
350,442
351,164
352,481
353,219
354,87
355,288
356,453
357,160
358,379
359,325
360,214
361,290
362,100
363,413
364,128
365,311
366,469
367,96
368,208
369,379
370,453
371,449
372,424
373,190
374,358
375,126
376,446
377,452
378,441
379,231
380,421
381,445
382,153
383,472
384,389
385,415
386,411
387,136
388,467
389,390
390,431
391,447
392,96
393,230
394,452
395,411
396,315
397,460
398,388
399,338
400,393
401,182
402,398
403,432
404,295
405,467
406,472
407,150
408,407
409,331
410,252
411,302
412,365
413,265
414,88
415,295
416,393
417,352
418,395
419,256
420,313
421,460
422,139
423,421
424,391
425,268
426,448
427,248
428,458
429,335
430,229
431,439
432,384
433,346
434,317
435,177
436,464
437,289
438,152
439,225
440,387
441,442
442,398
443,118
444,434
445,432
446,411
447,470
448,456
449,48
450,210
451,310
452,442
453,183
454,394
455,348
456,193
457,206
458,111
459,168
460,366
461,495
462,91
463,235
464,215
465,318
466,455
467,208
468,404
469,177
470,385
471,433
472,473
473,462
474,439
475,476
476,76
477,390
478,117
479,374
480,441
481,391
482,404
483,143
484,300
485,131
486,202
487,230
488,133
489,84
490,163
491,406
492,268
493,137
494,413
495,125
496,446
497,394
498,382
499,98
500,460
501,316
502,254
503,410
504,171
505,383
506,472
507,401
508,265
509,116
510,127
511,456
