,0
0,0.5441
1,0.15917033
2,0.23260087
3,0.14491619
4,0.33144087
5,0.69357955
6,0.23144434
7,0.16426834
8,0.23811774
9,0.20411727
10,0.22977841
11,0.27384448
12,0.4888572
13,0.23327428
14,0.22549483
15,0.39707398
16,0.32997736
17,0.55674803
18,0.2980922
19,0.22816794
20,0.17617998
21,0.63244915
22,0.34801358
23,0.14659753
24,0.14710563
25,0.1618146
26,0.3177688
27,0.18463624
28,0.54800946
29,0.1695272
30,0.1559205
31,0.17168109
32,0.15452941
33,0.21137166
34,0.24325204
35,0.12314235
36,0.14442173
37,0.15586461
38,0.553851
39,0.6514964
40,0.20839621
41,0.15626276
42,0.3606825
43,0.3412458
44,0.24820293
45,0.33340722
46,0.23510997
47,0.23937914
48,0.6723527
49,0.40131873
50,0.32862753
51,0.18214297
52,0.43731624
53,0.4650774
54,0.13253224
55,0.5090039
56,0.26236784
57,0.18634918
58,0.2534414
59,0.2604672
60,0.37359464
61,0.1428485
62,0.41083083
63,0.20851211
64,0.22775833
65,0.12680057
66,0.18239495
67,0.20655787
68,0.20509058
69,0.4778904
70,0.23049834
71,0.24029353
72,0.4247179
73,0.49111587
74,0.20916328
75,0.6153893
76,0.14823568
77,0.30457088
78,0.15414736
79,0.20269819
80,0.2311745
81,0.23154421
82,0.13698018
83,0.23051737
84,0.12842675
85,0.6141492
86,0.22629783
87,0.15089999
88,0.14326659
89,0.09136498
90,0.22761483
91,0.33579004
92,0.13627338
93,0.38962483
94,0.5587451
95,0.22833294
96,0.40545642
97,0.15737304
98,0.36983413
99,0.569759
100,0.5519489
101,0.1503427
102,0.16848794
103,0.20789361
104,0.2057809
105,0.30260515
106,0.24182694
107,0.6360569
108,0.5708555
109,0.537928
110,0.42618424
111,0.50782204
112,0.27294576
113,0.11128946
114,0.55436933
115,0.51482296
116,0.4544721
117,0.3937225
118,0.6106685
119,0.3463617
120,0.52301145
121,0.58290553
122,0.20239392
123,0.5913546
124,0.26171428
125,0.64073133
126,0.27910691
127,0.3071252
128,0.28763807
129,0.13776493
130,0.49245915
131,0.16801202
132,0.18166214
133,0.29047948
134,0.20608741
135,0.34620044
136,0.15234628
137,0.5086179
138,0.4839512
139,0.24259463
140,0.19133982
141,0.14037919
142,0.66114795
143,0.42460662
144,0.14764486
145,0.20612091
146,0.15393719
147,0.3202611
148,0.3176254
149,0.16182858
150,0.24344288
151,0.1930472
152,0.36976913
153,0.2520045
154,0.595115
155,0.2524502
156,0.46597964
157,0.23441851
158,0.4481487
159,0.5962221
160,0.5235462
161,0.3579448
162,0.31619787
163,0.19928092
164,0.6378887
165,0.27257568
166,0.150781
167,0.3626
168,0.48897654
169,0.6694527
170,0.13616794
171,0.442945
172,0.10043771
173,0.67877764
174,0.4324756
175,0.2588404
176,0.37052727
177,0.21999547
178,0.3381299
179,0.6137166
180,0.29979095
181,0.389824
182,0.66781163
183,0.37359193
184,0.21702577
185,0.20487803
186,0.16962975
187,0.1627702
188,0.56378156
189,0.28846848
190,0.28193074
191,0.20983975
192,0.17991975
193,0.18821272
194,0.21754058
195,0.23527506
196,0.30296195
197,0.45499003
198,0.19783518
199,0.18120572
200,0.53081656
201,0.35176513
202,0.14996655
203,0.4382099
204,0.20931327
205,0.17880747
206,0.19649935
207,0.2176125
208,0.091348164
209,0.23607999
210,0.2914173
211,0.42304352
212,0.61097866
213,0.19302033
214,0.61404467
215,0.5467789
216,0.54320675
217,0.63065505
218,0.6033508
219,0.55367184
220,0.18138623
221,0.6199943
222,0.4531559
223,0.24007201
224,0.19849053
225,0.16476002
226,0.53008497
227,0.2110058
228,0.26301146
229,0.15923849
230,0.2612121
231,0.22759703
232,0.2655357
233,0.18759187
234,0.51149726
235,0.27064574
236,0.20622185
237,0.10877751
238,0.5232872
239,0.4627288
240,0.26920825
241,0.14377481
242,0.44923514
243,0.4759797
244,0.28126013
245,0.53305423
246,0.49979928
247,0.23253657
248,0.21283019
249,0.2758193
250,0.16684502
251,0.32777506
252,0.47172785
253,0.19457683
254,0.5144167
255,0.15543267
256,0.44244376
257,0.25445044
258,0.27978718
259,0.124798834
260,0.32198957
261,0.6341828
262,0.30979374
263,0.56883013
264,0.13893765
265,0.13528615
266,0.33621097
267,0.2732644
268,0.39954183
269,0.18658878
270,0.23734123
271,0.20344457
272,0.4655717
273,0.20948333
274,0.329323
275,0.4381059
276,0.29565454
277,0.20218317
278,0.40886664
279,0.3290903
280,0.14776142
281,0.5651053
282,0.24131374
283,0.573521
284,0.11926883
285,0.24083747
286,0.6352658
287,0.6079814
288,0.26235574
289,0.2633903
290,0.1306965
291,0.6437355
292,0.28585088
293,0.32217133
294,0.2642904
295,0.59591234
296,0.19572262
297,0.1561486
298,0.18020716
299,0.3054222
300,0.39592713
301,0.61962473
302,0.17070031
303,0.5009836
304,0.15735629
305,0.42871368
