,0
0,487
1,281
2,435
3,357
4,485
5,236
6,496
7,279
8,490
9,498
10,499
11,479
12,459
13,471
14,425
15,498
16,500
17,288
18,496
19,493
20,450
21,398
22,327
23,319
24,463
25,494
26,306
27,496
28,328
29,421
30,497
31,386
32,286
33,498
34,493
35,323
36,281
37,337
38,494
39,320
40,337
41,461
42,491
43,468
44,334
45,354
46,429
47,499
48,496
49,497
50,494
51,311
52,490
53,495
54,277
55,366
56,343
57,413
58,494
59,418
60,489
61,276
62,489
63,397
64,287
65,296
66,494
67,500
68,500
69,486
70,500
71,487
72,228
73,266
74,285
75,302
76,440
77,463
78,478
79,413
80,499
81,473
82,497
83,399
84,366
85,409
86,351
87,493
88,323
89,293
90,444
91,438
92,498
93,250
94,497
95,313
96,479
97,499
98,488
99,285
100,301
101,301
102,496
103,307
104,346
105,279
106,413
107,459
108,494
109,449
110,473
111,271
112,493
113,283
114,457
115,282
116,486
117,231
118,493
119,457
120,446
121,480
122,493
123,277
124,498
125,301
126,262
127,486
128,498
129,430
130,453
131,364
132,487
133,500
134,489
135,261
136,282
137,498
138,344
139,411
140,499
141,497
142,419
143,496
144,245
145,423
146,258
147,303
148,470
149,485
150,494
151,422
152,437
153,498
154,256
155,286
156,465
157,293
158,474
159,359
160,478
161,477
162,292
163,499
164,451
165,440
166,257
167,471
168,324
169,497
170,400
171,232
172,488
173,233
174,298
175,491
176,497
177,498
178,494
179,453
180,272
181,368
182,227
183,227
184,498
185,500
186,385
187,300
188,240
189,329
190,498
191,488
192,277
193,476
194,335
195,494
196,497
197,280
198,488
199,500
200,353
201,275
202,282
203,340
204,298
205,498
206,321
207,314
208,421
209,494
210,257
211,293
212,278
213,412
214,296
215,280
216,309
217,496
218,477
219,359
220,462
221,356
222,303
223,482
224,395
225,371
226,283
227,500
228,487
229,495
230,414
231,386
232,491
233,401
234,497
235,467
236,494
237,393
238,491
239,214
240,473
241,264
242,499
243,495
244,365
245,356
246,211
247,362
248,399
249,478
250,499
251,451
252,494
253,491
254,491
255,269
256,312
257,499
258,497
259,413
260,498
261,266
262,459
263,387
264,272
265,477
266,285
267,340
268,215
269,490
270,497
271,359
272,215
273,310
274,480
275,486
276,470
277,428
278,461
279,401
280,235
281,275
282,303
283,279
284,497
285,245
286,328
287,467
288,261
289,432
290,493
291,278
292,449
293,499
294,292
295,497
296,383
297,497
298,410
299,491
300,487
301,492
302,380
303,299
304,462
305,481
306,448
307,325
308,498
309,342
310,224
311,463
312,320
313,423
314,429
315,343
316,500
317,366
318,262
319,493
320,488
321,228
322,369
323,476
324,500
325,458
326,331
327,249
328,311
329,273
330,487
331,324
332,423
333,280
334,488
335,471
336,448
337,370
338,230
339,358
340,499
341,497
342,384
343,210
344,500
345,499
346,349
347,418
348,409
349,497
350,243
351,499
352,499
353,434
354,493
355,496
356,238
357,500
358,474
359,250
360,487
361,495
362,497
363,488
364,409
365,495
366,494
367,255
368,499
369,393
370,462
371,266
372,467
373,499
374,498
375,393
376,330
377,497
378,443
379,489
380,468
381,468
382,490
383,487
384,324
385,462
386,488
387,265
388,486
389,441
390,497
391,351
392,499
393,500
394,496
395,306
396,284
397,500
398,204
399,493
400,272
401,274
402,332
403,448
404,400
405,414
406,253
407,498
408,372
409,257
410,495
411,401
412,490
413,490
414,325
415,265
416,337
417,254
418,419
419,246
420,296
421,310
422,350
423,496
424,384
425,499
426,489
427,446
428,470
429,323
430,500
431,332
432,490
433,313
434,482
435,498
436,497
437,446
438,494
439,496
440,350
441,319
442,498
443,417
444,392
445,238
446,485
447,491
448,366
449,429
450,285
451,327
452,495
453,483
454,374
455,386
456,348
457,474
458,214
459,211
460,291
461,478
462,499
463,433
464,445
465,370
466,381
467,369
468,342
469,312
470,294
471,497
472,500
473,490
474,486
475,468
476,434
477,449
478,489
479,497
480,500
481,356
482,444
483,363
484,329
485,484
486,494
487,497
488,377
489,498
490,498
491,326
492,399
493,445
494,484
495,357
496,480
497,289
498,323
499,381
500,366
501,308
502,302
503,496
504,495
505,488
506,496
507,493
508,429
509,449
510,307
511,446
