,0
0,106
1,315
2,397
3,382
4,160
5,414
6,168
7,437
8,273
9,101
10,269
11,106
12,228
13,379
14,301
15,205
16,252
17,243
18,237
19,210
20,305
21,258
22,375
23,238
24,170
25,345
26,244
27,378
28,316
29,350
30,196
31,273
32,392
33,134
34,216
35,425
36,320
37,271
38,183
39,296
40,287
41,210
42,419
43,315
44,413
45,238
46,329
47,173
48,207
49,141
50,167
51,328
52,95
53,269
54,344
55,256
56,261
57,321
58,253
59,340
60,166
61,431
62,308
63,238
64,264
65,250
66,287
67,320
68,402
69,272
70,373
71,329
72,309
73,239
74,412
75,368
76,328
77,272
78,297
79,265
80,233
81,368
82,315
83,397
84,276
85,382
86,401
87,86
88,305
89,367
90,480
91,171
92,190
93,369
94,357
95,406
96,294
97,120
98,267
99,396
100,482
101,351
102,139
103,374
104,354
105,279
106,319
107,374
108,316
109,373
110,315
111,263
112,177
113,342
114,255
115,302
116,169
117,312
118,256
119,300
120,243
121,258
122,395
123,427
124,67
125,458
126,427
127,238
128,221
129,226
130,240
131,412
132,110
133,331
134,189
135,436
136,404
137,263
138,300
139,375
140,380
141,164
142,294
143,240
144,359
145,283
146,284
147,408
148,376
149,217
150,269
151,206
152,172
153,355
154,398
155,421
156,59
157,276
158,111
159,382
160,233
161,299
162,306
163,192
164,362
165,425
166,376
167,217
168,328
169,144
170,337
171,353
172,140
173,283
174,374
175,266
176,330
177,257
178,249
179,380
180,419
181,167
182,322
183,472
184,279
185,134
186,320
187,421
188,298
189,246
190,181
191,140
192,398
193,200
194,491
195,275
196,141
197,256
198,125
199,284
200,305
201,336
202,456
203,249
204,346
205,224
206,384
207,305
208,215
209,276
210,418
211,229
212,406
213,446
214,450
215,360
216,423
217,235
218,406
219,443
220,214
221,468
222,237
223,173
224,291
225,420
226,320
227,157
228,75
229,133
230,329
231,251
232,223
233,276
234,343
235,414
236,257
237,262
238,235
239,357
240,236
241,311
242,257
243,335
244,361
245,233
246,297
247,281
248,468
249,252
250,343
251,262
252,140
253,184
254,326
255,197
256,341
257,208
258,227
259,354
260,395
261,299
262,356
263,335
264,339
265,162
266,372
267,428
268,363
269,298
270,246
271,179
272,276
273,352
274,340
275,183
276,260
277,359
278,431
279,346
280,461
281,335
282,372
283,388
284,284
285,303
286,203
287,328
288,319
289,247
290,420
291,318
292,243
293,187
294,402
295,207
296,303
297,193
298,348
299,78
300,295
301,322
302,290
303,299
304,356
305,219
306,256
307,351
308,232
309,289
310,414
311,285
312,319
313,301
314,209
315,356
316,316
317,386
318,290
319,139
320,187
321,297
322,279
323,325
324,252
325,245
326,279
327,343
328,383
329,210
330,263
331,262
332,274
333,392
334,213
335,253
336,286
337,343
338,343
339,433
340,251
341,130
342,202
343,371
344,384
345,212
346,251
347,312
348,336
349,251
350,385
351,240
352,401
353,289
354,414
355,235
356,285
357,267
358,356
359,332
360,209
361,114
362,219
363,142
364,302
365,168
366,199
367,402
368,189
369,405
370,273
371,391
372,409
373,236
374,221
375,235
376,246
377,203
378,326
379,112
380,200
381,401
382,103
383,250
384,249
385,254
386,263
387,376
388,169
389,219
390,330
391,392
392,304
393,279
394,175
395,319
396,320
397,176
398,322
399,217
400,414
401,328
402,248
403,422
404,470
405,383
406,439
407,259
408,315
409,296
410,387
411,388
412,198
413,205
414,414
415,269
416,370
417,331
418,354
419,352
420,345
421,400
422,260
423,249
424,440
425,250
426,198
427,315
428,184
429,386
430,317
431,422
432,100
433,314
434,258
435,264
436,400
437,338
438,141
439,116
440,293
441,240
442,193
443,266
444,344
445,297
446,255
447,208
448,382
449,231
450,291
451,275
452,228
453,371
454,195
455,265
456,317
457,285
458,416
459,305
460,287
461,265
462,298
463,422
464,328
465,391
466,240
467,261
468,299
469,295
470,345
471,208
472,368
473,296
474,150
475,263
476,292
477,368
478,336
479,191
480,266
481,396
482,181
483,183
484,302
485,222
486,266
487,225
488,330
489,146
490,300
491,339
492,159
493,294
494,258
495,338
496,443
497,374
498,316
499,207
500,277
501,372
502,316
503,284
504,186
505,72
506,365
507,233
508,360
509,229
510,297
511,356
