,0
0,0.37092128
1,0.25489122
2,0.28737214
3,0.19369623
4,0.3651579
5,0.15776531
6,0.5280967
7,0.19593441
8,0.3035188
9,0.44189262
10,0.5208436
11,0.33488214
12,0.27496308
13,0.35098195
14,0.28231883
15,0.39706576
16,0.46363094
17,0.19203548
18,0.48249242
19,0.43070143
20,0.2804907
21,0.2671688
22,0.20384285
23,0.23195583
24,0.22216552
25,0.3530077
26,0.24858199
27,0.46178713
28,0.20082003
29,0.22852172
30,0.42146343
31,0.28299034
32,0.22395453
33,0.46428394
34,0.31794927
35,0.24131581
36,0.26287436
37,0.24017996
38,0.37768364
39,0.2500166
40,0.17436013
41,0.28115487
42,0.3446647
43,0.31021273
44,0.19968185
45,0.20963895
46,0.1850335
47,0.4539755
48,0.45005912
49,0.48000935
50,0.4624689
51,0.16843319
52,0.38947016
53,0.35419902
54,0.19042203
55,0.175253
56,0.20639819
57,0.23990905
58,0.39509624
59,0.22696085
60,0.36876765
61,0.24659134
62,0.3830248
63,0.2375104
64,0.21246493
65,0.20393488
66,0.44035
67,0.46717942
68,0.378921
69,0.2964712
70,0.5189507
71,0.40273315
72,0.18408129
73,0.2251646
74,0.1985519
75,0.19116223
76,0.29664922
77,0.2704552
78,0.32863212
79,0.23944224
80,0.44214508
81,0.30998152
82,0.43143988
83,0.20735204
84,0.21755747
85,0.21003664
86,0.2280861
87,0.36680973
88,0.20962018
89,0.17117554
90,0.28594637
91,0.23023677
92,0.39889443
93,0.23675838
94,0.4840402
95,0.1674999
96,0.3214556
97,0.47506645
98,0.36969137
99,0.21430793
100,0.24574915
101,0.22110307
102,0.43101138
103,0.2797993
104,0.2154126
105,0.20463777
106,0.2215931
107,0.23411039
108,0.40716702
109,0.21780275
110,0.33655193
111,0.16684179
112,0.43120366
113,0.19901955
114,0.2844724
115,0.1864542
116,0.4446201
117,0.26985464
118,0.40067136
119,0.31174156
120,0.27542785
121,0.35629168
122,0.27006435
123,0.20791313
124,0.38315836
125,0.2435019
126,0.23379308
127,0.39401025
128,0.46616796
129,0.30930695
130,0.2602825
131,0.16282624
132,0.34853846
133,0.54698825
134,0.4219855
135,0.18289575
136,0.22680435
137,0.49780223
138,0.16299936
139,0.2252496
140,0.549816
141,0.42921475
142,0.27224442
143,0.5220128
144,0.26491848
145,0.25659722
146,0.1526561
147,0.2352947
148,0.2882852
149,0.30820608
150,0.3466373
151,0.23423442
152,0.24500683
153,0.40461168
154,0.19850487
155,0.17635538
156,0.24184275
157,0.23637767
158,0.36537835
159,0.2110236
160,0.2914793
161,0.30057308
162,0.22925372
163,0.5367981
164,0.30586517
165,0.22114259
166,0.23146638
167,0.27232406
168,0.16315012
169,0.42433336
170,0.20134175
171,0.27302605
172,0.37296438
173,0.21059906
174,0.16827919
175,0.3795621
176,0.49513423
177,0.3771867
178,0.44389892
179,0.25256222
180,0.20009008
181,0.17477289
182,0.1628558
183,0.23420228
184,0.51301837
185,0.5212848
186,0.23973703
187,0.19933333
188,0.24589524
189,0.24028166
190,0.5125718
191,0.44991243
192,0.15043892
193,0.32949895
194,0.20273277
195,0.34498706
196,0.40352282
197,0.16105393
198,0.33813816
199,0.5086346
200,0.22426063
201,0.21494219
202,0.24697955
203,0.2180562
204,0.25472203
205,0.51654065
206,0.17283717
207,0.24029817
208,0.2158082
209,0.32927963
210,0.22181548
211,0.2515746
212,0.22012796
213,0.2632711
214,0.24431162
215,0.18079391
216,0.1893225
217,0.4496802
218,0.33906627
219,0.22331159
220,0.31034324
221,0.27162158
222,0.2016969
223,0.29042584
224,0.23408674
225,0.22391173
226,0.183505
227,0.50409496
228,0.36137503
229,0.38819715
230,0.25191513
231,0.20307454
232,0.42524594
233,0.1835858
234,0.37009403
235,0.2723616
236,0.39654946
237,0.22846907
238,0.3666312
239,0.2081486
240,0.34599733
241,0.25317025
242,0.45245367
243,0.4397382
244,0.20428474
245,0.22468176
246,0.1715362
247,0.1980218
248,0.2383568
249,0.30326635
250,0.49004427
251,0.24527878
252,0.38074404
253,0.3770512
254,0.35800523
255,0.22672781
256,0.23467554
257,0.4931592
258,0.45499134
259,0.17302588
260,0.44085127
261,0.17707711
262,0.2968554
263,0.2036408
264,0.24851361
265,0.33690146
266,0.21657223
267,0.24791008
268,0.23149177
269,0.37601078
270,0.43524244
271,0.20091578
272,0.21341437
273,0.22279942
274,0.27897188
275,0.3495574
276,0.31507427
277,0.22763921
278,0.32141104
279,0.18797866
