,0
0,0.5457607
1,0.2614229
2,0.2969851
3,0.42163193
4,0.49003065
5,0.41641915
6,0.59644353
7,0.4184329
8,0.47343123
9,0.35833013
10,0.32064348
11,0.201283
12,0.47874263
13,0.38806105
14,0.47944203
15,0.4828756
16,0.1496751
17,0.30641013
18,0.43628505
19,0.43749207
20,0.4968757
21,0.47944248
22,0.3934077
23,0.6116229
24,0.50543153
25,0.33945596
26,0.50369763
27,0.26053974
28,0.29826358
29,0.5361283
30,0.40086234
31,0.32136685
32,0.44349796
33,0.20989008
34,0.37273228
35,0.41026002
36,0.4059372
37,0.3463478
38,0.5093955
39,0.4250654
40,0.2454916
41,0.3983441
42,0.23681566
43,0.15882152
44,0.3996609
45,0.48328298
46,0.32381132
47,0.24021181
48,0.3785168
49,0.34384075
50,0.21225478
51,0.3177111
52,0.30294847
53,0.33860922
54,0.31296664
55,0.3574702
56,0.4684783
57,0.34266824
58,0.31479803
59,0.3647563
60,0.37065792
61,0.43487346
62,0.32171163
63,0.3599714
64,0.28763857
65,0.43352565
66,0.39251274
67,0.4838683
68,0.3275762
69,0.26509485
70,0.26629832
71,0.3991431
72,0.23587552
73,0.27245182
74,0.53577566
75,0.4369451
76,0.17970124
77,0.31612134
78,0.44853717
79,0.40147677
80,0.47796458
81,0.31104606
82,0.34832224
83,0.1654838
84,0.2661978
85,0.357004
86,0.3674975
87,0.22794363
88,0.32671246
89,0.3225425
90,0.38673258
91,0.4124732
92,0.45688838
93,0.61163807
94,0.3425222
95,0.29091614
96,0.37913394
97,0.5190602
98,0.39076537
99,0.27652457
100,0.47064602
101,0.33620346
102,0.54122597
103,0.42537832
104,0.4687212
105,0.40418822
106,0.35378265
107,0.5301851
108,0.34855008
109,0.33205298
110,0.448524
111,0.45330715
112,0.4519542
113,0.20231056
114,0.3998904
115,0.5000889
116,0.42245358
117,0.37204725
118,0.41672763
119,0.30194074
120,0.22860828
121,0.52308106
122,0.44467583
123,0.278709
124,0.4638137
125,0.354597
126,0.2999747
127,0.41497296
128,0.38204193
129,0.60621274
130,0.29552996
131,0.35857564
132,0.15327145
133,0.32494754
134,0.1718519
135,0.49649203
136,0.40878516
137,0.4621394
138,0.28516883
139,0.65807295
140,0.28871816
141,0.59127724
142,0.38327873
143,0.5332805
144,0.38011938
145,0.3923212
146,0.44117683
147,0.33824325
148,0.45180565
149,0.26097012
150,0.38515496
151,0.24179918
152,0.3914193
153,0.3521911
154,0.32538626
155,0.28413862
156,0.31822872
157,0.3573633
158,0.43932393
159,0.42111373
160,0.3844964
161,0.59588313
162,0.427045
163,0.650558
164,0.3692019
165,0.5525521
166,0.5976824
167,0.28542602
168,0.20550483
169,0.35463196
170,0.56066334
171,0.5258372
172,0.29077533
173,0.26688087
174,0.44803295
175,0.26363906
176,0.53846884
177,0.3571896
178,0.43541092
179,0.41668767
180,0.40682024
181,0.5541043
182,0.49184853
183,0.29965675
184,0.44461292
185,0.35508558
186,0.45881435
187,0.437574
188,0.41142425
189,0.40420192
190,0.48420656
191,0.56015956
192,0.5608233
193,0.37403542
194,0.2525928
195,0.42975113
196,0.39136934
197,0.36837697
198,0.40098494
199,0.4227004
200,0.2755218
201,0.24660446
202,0.41876173
203,0.32545874
204,0.5048644
205,0.63453627
206,0.28108615
207,0.33751297
208,0.2830422
209,0.34615934
210,0.46432793
211,0.30888665
212,0.28216627
213,0.42157888
214,0.3820396
215,0.27969456
216,0.13382912
217,0.342893
218,0.281513
219,0.32373863
220,0.31359673
221,0.30895317
222,0.36209518
223,0.40976113
224,0.4428255
225,0.25725168
226,0.4034316
227,0.58689225
228,0.30103356
229,0.6339137
230,0.5255384
231,0.34351236
232,0.51073647
233,0.3790908
234,0.5807556
235,0.2938831
236,0.46217343
237,0.41946235
238,0.3545529
239,0.34470987
240,0.38688406
241,0.4034533
242,0.5188027
243,0.4088899
244,0.38269663
245,0.51011395
246,0.34470278
247,0.42982334
248,0.38850605
249,0.42824197
250,0.41426438
251,0.17745268
252,0.2058082
253,0.37166542
254,0.27516356
255,0.25103626
256,0.3000354
257,0.6623556
258,0.26372015
259,0.5567865
260,0.21980512
261,0.50624233
262,0.3912074
263,0.38834476
264,0.4239028
265,0.2146172
266,0.36643595
267,0.6341336
268,0.4430205
269,0.43609875
270,0.32616174
271,0.5676201
272,0.3718565
273,0.4869212
274,0.43086183
275,0.3886162
276,0.28899145
277,0.21223927
278,0.45835525
279,0.57736087
280,0.3843755
281,0.45535445
282,0.45488393
283,0.42281696
284,0.3754303
285,0.37681973
286,0.1544508
287,0.24495122
288,0.31172532
289,0.48652035
290,0.5038489
291,0.28002158
292,0.41311446
293,0.4167237
294,0.22953555
295,0.37165946
296,0.12849005
297,0.48063326
298,0.25076294
299,0.4610216
300,0.50644684
301,0.36587742
302,0.4507385
303,0.27293536
304,0.3615252
305,0.34036827
306,0.2816429
307,0.36871895
308,0.50138915
309,0.23478436
310,0.43960613
311,0.45493835
312,0.25997892
313,0.43571728
314,0.298464
315,0.43248826
316,0.4995942
317,0.32373998
318,0.503622
319,0.22632189
320,0.28111967
321,0.53490865
322,0.57882845
323,0.4613477
324,0.45365542
325,0.46446174
326,0.32896227
327,0.46376458
328,0.3493241
329,0.37884843
330,0.5663295
331,0.42183083
332,0.3816141
333,0.37155175
334,0.5869121
335,0.42837745
336,0.22674021
337,0.4824892
338,0.35933298
339,0.25202605
340,0.4519189
341,0.20576997
342,0.38472503
343,0.48418146
344,0.26864833
345,0.5397197
346,0.47311807
347,0.35638016
348,0.43353862
349,0.1953854
350,0.3956701
351,0.41773042
352,0.3414075
353,0.4697074
354,0.44263303
355,0.23660877
356,0.42890638
357,0.4439298
358,0.43280452
359,0.587008
360,0.28393275
361,0.55973786
362,0.22658236
363,0.3824271
364,0.43504125
365,0.35189652
366,0.19939888
367,0.34244955
368,0.3749849
369,0.31385344
370,0.39951766
371,0.37592083
372,0.5973339
373,0.29098493
374,0.5517397
375,0.34134853
376,0.60345125
377,0.3176231
378,0.20456322
379,0.52363956
380,0.37914735
381,0.29172358
382,0.46732903
383,0.27537507
384,0.36843348
385,0.2201646
386,0.31088495
387,0.51894355
388,0.38756156
389,0.3383036
390,0.33996844
391,0.35237253
392,0.2736619
393,0.41999495
394,0.3420565
395,0.5234333
396,0.36420083
397,0.29206717
398,0.5486788
399,0.38117725
400,0.5184812
401,0.36194634
402,0.4395367
403,0.28371134
404,0.26731813
405,0.41738033
406,0.4234898
407,0.21821389
408,0.22052507
409,0.3120778
410,0.35610297
411,0.5179293
412,0.37664753
413,0.5305958
414,0.23670366
415,0.38253012
416,0.31042767
417,0.49789488
418,0.4872139
419,0.38333246
420,0.5328952
421,0.27796155
422,0.35825008
423,0.47316986
424,0.3696732
425,0.40799773
426,0.5008501
427,0.40574145
428,0.46592492
429,0.43945548
430,0.42393875
431,0.25142688
432,0.44825235
433,0.5138417
434,0.22166714
435,0.4963318
436,0.32831046
437,0.3562193
438,0.38391656
439,0.18018025
440,0.64462376
441,0.4254648
442,0.583438
443,0.33645037
444,0.42188132
445,0.2735376
446,0.48577696
447,0.37653
448,0.34601706
449,0.13005394
450,0.5403682
451,0.27552873
452,0.23596847
453,0.34765172
454,0.52178276
455,0.41285127
456,0.49282014
457,0.58057964
458,0.28151825
459,0.4224438
460,0.48634624
461,0.34237516
462,0.48108602
463,0.34945953
464,0.4090612
465,0.3907781
466,0.28800595
467,0.33109507
468,0.30680513
469,0.5114167
470,0.34757042
471,0.67200416
472,0.37455037
473,0.26690188
474,0.22112063
475,0.6069416
476,0.5476539
477,0.2517496
478,0.29614043
479,0.18926427
480,0.47807568
481,0.36002922
482,0.45315635
483,0.40676105
484,0.43337077
485,0.2189478
486,0.3940553
487,0.2655893
488,0.1724163
489,0.3730064
490,0.47004837
491,0.3203681
492,0.40612757
493,0.271407
494,0.26378325
495,0.35810238
496,0.2443874
497,0.32046816
498,0.39627075
499,0.42957664
500,0.3571561
501,0.45771557
502,0.26339397
503,0.376041
504,0.54794025
505,0.29935357
506,0.4175936
507,0.4155689
508,0.49499467
509,0.42392373
510,0.47809312
511,0.38350165
