,0
0,248
1,481
2,496
3,496
4,389
5,347
6,404
7,500
8,460
9,239
10,492
11,383
12,493
13,500
14,232
15,309
16,476
17,464
18,463
19,447
20,280
21,479
22,275
23,325
24,352
25,423
26,493
27,496
28,453
29,499
30,434
31,316
32,427
33,266
34,377
35,415
36,486
37,273
38,300
39,495
40,210
41,319
42,428
43,317
44,395
45,497
46,378
47,489
48,234
49,406
50,464
51,397
52,286
53,494
54,476
55,499
56,497
57,259
58,491
59,498
60,488
61,486
62,330
63,443
64,279
65,491
66,398
67,496
68,495
69,415
70,486
71,493
72,378
73,302
74,484
75,499
76,444
77,322
78,466
79,468
80,497
81,483
82,339
83,378
84,353
85,494
86,500
87,410
88,495
89,437
90,500
91,489
92,263
93,498
94,343
95,426
96,499
97,417
98,487
99,390
100,499
101,389
102,492
103,498
104,492
105,500
106,379
107,493
108,498
109,498
110,499
111,498
112,495
113,274
114,317
115,489
116,231
117,494
118,257
119,367
120,470
121,498
122,498
123,434
124,279
125,469
126,342
127,493
128,493
129,291
130,343
131,475
132,370
133,500
134,377
135,496
136,500
137,249
138,488
139,500
140,496
141,293
142,493
143,500
144,500
145,405
146,486
147,496
148,499
149,472
150,499
151,244
152,238
153,497
154,447
155,436
156,300
157,491
158,299
159,240
160,494
161,496
162,494
163,409
164,483
165,500
166,494
167,330
168,470
169,328
170,500
171,498
172,480
173,376
174,499
175,394
176,499
177,495
178,452
179,463
180,499
181,487
182,206
183,441
184,478
185,398
186,368
187,486
188,490
189,358
190,494
191,317
192,497
193,325
194,472
195,428
196,374
197,378
198,334
199,375
200,492
201,426
202,500
203,307
204,500
205,422
206,389
207,495
208,420
209,482
210,497
211,487
212,329
213,464
214,438
215,330
216,382
217,458
218,498
219,498
220,437
221,368
222,422
223,346
224,497
225,414
226,487
227,252
228,377
229,334
230,499
231,384
232,331
233,389
234,494
235,451
236,299
237,495
238,487
239,408
240,309
241,499
242,498
243,499
244,408
245,476
246,260
247,463
248,438
249,494
250,495
251,476
252,411
253,353
254,491
255,201
256,492
257,404
258,486
259,489
260,420
261,494
262,474
263,472
264,495
265,381
266,494
267,500
268,494
269,462
270,475
271,376
272,262
273,498
274,500
275,437
276,477
277,422
278,459
279,499
280,484
281,491
282,487
283,489
284,330
285,484
286,368
287,438
288,333
289,296
290,477
291,418
292,497
293,370
294,481
295,288
296,300
297,396
298,395
299,336
300,499
301,378
302,304
303,360
304,445
305,312
306,392
307,490
308,475
309,484
310,495
311,449
312,455
313,496
314,225
315,495
316,495
317,373
318,498
319,361
320,489
321,490
322,499
323,493
324,500
325,490
326,296
327,500
328,428
329,485
330,303
331,486
332,396
333,319
334,382
335,499
336,410
337,497
338,385
339,431
340,441
341,390
342,354
343,497
344,484
345,323
346,494
347,356
348,488
349,493
350,444
351,497
352,484
353,493
354,498
355,486
356,481
357,327
358,319
359,500
360,404
361,419
362,494
363,327
364,498
365,470
366,462
367,499
368,490
369,394
370,477
371,474
372,484
373,381
374,497
375,309
376,495
377,307
378,290
379,310
380,437
381,456
382,294
383,447
384,436
385,454
386,297
387,498
388,366
389,464
390,475
391,477
392,497
393,321
394,385
395,488
396,281
397,409
398,489
399,499
400,495
401,492
402,480
403,333
404,500
405,378
406,479
407,488
408,186
409,416
410,499
411,324
412,497
413,351
414,484
415,485
416,484
417,359
418,496
419,494
420,493
421,353
422,458
423,265
424,419
425,399
426,308
427,332
428,374
429,499
430,436
431,391
432,424
433,493
434,406
435,377
436,460
437,495
438,261
439,468
440,500
441,292
442,229
443,312
444,289
445,278
446,463
447,495
448,285
449,316
450,493
451,284
452,395
453,499
454,490
455,366
456,498
457,493
458,498
459,488
460,461
461,378
462,500
463,499
464,377
465,499
466,476
467,357
468,490
469,493
470,498
471,380
472,492
473,268
474,433
475,497
476,498
477,431
478,493
479,497
480,463
481,483
482,498
483,481
484,487
485,464
486,475
487,366
488,453
489,240
490,498
491,468
492,244
493,319
494,392
495,499
496,464
497,440
498,361
499,361
500,491
501,428
502,315
503,334
504,276
505,295
506,485
507,498
508,499
509,344
510,427
511,316
