,0
0,365
1,335
2,304
3,206
4,308
5,380
6,171
7,188
8,160
9,186
10,150
11,214
12,296
13,185
14,382
15,459
16,224
17,246
18,162
19,371
20,278
21,131
22,440
23,392
24,282
25,455
26,95
27,401
28,363
29,269
30,172
31,346
32,222
33,402
34,310
35,419
36,255
37,326
38,410
39,82
40,447
41,417
42,487
43,460
44,422
45,41
46,441
47,160
48,329
49,181
50,130
51,426
52,359
53,205
54,319
55,77
56,75
57,391
58,223
59,239
60,102
61,412
62,472
63,246
64,368
65,122
66,487
67,193
68,377
69,316
70,397
71,180
72,365
73,229
74,203
75,290
76,289
77,420
78,364
79,243
80,99
81,354
82,482
83,452
84,371
85,276
86,173
87,252
88,91
89,385
90,362
91,66
92,277
93,214
94,451
95,330
96,163
97,197
98,191
99,278
100,415
101,215
102,101
103,215
104,272
105,164
106,454
107,237
108,201
109,115
110,314
111,191
112,67
113,427
114,252
115,122
116,322
117,191
118,418
119,427
120,173
121,197
122,274
123,384
124,221
125,419
126,435
127,297
128,100
129,421
130,468
131,362
132,171
133,382
134,357
135,187
136,127
137,332
138,280
139,324
140,459
141,215
142,170
143,270
144,282
145,194
146,251
147,377
148,291
149,138
150,249
151,254
152,438
153,368
154,243
155,426
156,179
157,241
158,224
159,472
160,69
161,166
162,118
163,372
164,242
165,336
166,203
167,428
168,63
169,250
170,328
171,312
172,307
173,87
174,281
175,411
176,199
177,141
178,396
179,372
180,169
181,54
182,261
183,429
184,178
185,195
186,351
187,354
188,91
189,370
190,82
191,356
192,332
193,195
194,415
195,193
196,185
197,168
198,364
199,449
200,220
201,395
202,366
203,210
204,295
205,223
206,245
207,229
208,323
209,236
210,206
211,120
212,330
213,353
214,250
215,442
216,395
217,199
218,335
219,389
220,112
221,455
222,57
223,456
224,68
225,447
226,159
227,369
228,145
229,216
230,149
231,309
232,458
233,402
234,257
235,473
236,296
237,120
238,150
239,216
240,432
241,76
242,259
243,199
244,199
245,48
246,300
247,123
248,410
249,174
250,244
251,247
252,353
253,432
254,372
255,301
256,111
257,222
258,161
259,219
260,437
261,140
262,345
263,136
264,205
265,337
266,150
267,427
268,258
269,182
270,132
271,224
272,161
273,312
274,333
275,206
276,257
277,344
278,275
279,328
280,314
281,131
282,191
283,137
284,268
285,184
286,239
287,247
288,343
289,406
290,462
291,147
292,181
293,200
294,336
295,407
296,460
297,373
298,474
299,120
300,193
301,238
302,436
303,277
304,383
305,370
306,324
307,81
308,389
309,161
310,179
311,377
312,282
313,301
314,336
315,301
316,217
317,399
318,246
319,239
320,135
321,110
322,242
323,146
324,336
325,164
326,273
327,307
328,348
329,59
330,374
331,137
332,170
333,393
334,469
335,110
336,255
337,232
338,278
339,364
340,360
341,216
342,251
343,194
344,262
345,301
346,36
347,291
348,344
349,152
350,341
351,78
352,490
353,111
354,440
355,118
356,137
357,429
358,496
359,313
360,252
361,352
362,288
363,393
364,153
365,186
366,98
367,309
368,116
369,421
370,264
371,338
372,218
373,313
374,107
375,432
376,108
377,385
378,465
379,372
380,331
381,414
382,327
383,123
384,267
385,176
386,440
387,154
388,322
389,215
390,212
391,279
392,241
393,448
394,239
395,139
396,438
397,390
398,135
399,181
400,210
401,303
402,49
403,484
404,351
405,466
406,259
407,158
408,407
409,383
410,385
411,433
412,120
413,191
414,318
415,135
416,327
417,411
418,249
419,342
420,118
421,466
422,337
423,365
424,437
425,263
426,365
427,470
428,204
429,332
430,453
431,403
432,327
433,135
434,383
435,428
436,271
437,126
438,361
439,196
440,115
441,397
442,305
443,479
444,486
445,209
446,210
447,112
448,457
449,410
450,123
451,376
452,270
453,342
454,23
455,411
456,245
457,128
458,134
459,271
460,269
461,390
462,333
463,321
464,239
465,333
466,145
467,375
468,59
469,271
470,182
471,227
472,279
473,493
474,138
475,167
476,105
477,468
478,225
479,117
480,312
481,279
482,58
483,56
484,133
485,185
486,324
487,360
488,302
489,342
490,176
491,163
492,427
493,461
494,243
495,139
496,461
497,238
498,424
499,210
500,312
501,443
502,272
503,479
504,244
505,198
506,270
507,314
508,315
509,373
510,342
511,485
