,0
0,0.19207425
1,0.30580783
2,0.38851833
3,0.37113652
4,0.21034202
5,0.21249443
6,0.2545263
7,0.4911192
8,0.2739717
9,0.24616289
10,0.3784405
11,0.23590109
12,0.35089284
13,0.6034303
14,0.17007312
15,0.24825692
16,0.31366515
17,0.24778262
18,0.2618167
19,0.27973837
20,0.18730256
21,0.29183498
22,0.26552945
23,0.24589834
24,0.25178865
25,0.23383257
26,0.44429505
27,0.33611888
28,0.26397705
29,0.54415476
30,0.27272892
31,0.261988
32,0.2589912
33,0.21156701
34,0.23000124
35,0.21096812
36,0.30550754
37,0.22761059
38,0.24334165
39,0.45333466
40,0.14668608
41,0.17738843
42,0.27246413
43,0.16541663
44,0.21140546
45,0.4822313
46,0.20544672
47,0.38899976
48,0.18913783
49,0.20607859
50,0.31348473
51,0.23270684
52,0.22426227
53,0.35964435
54,0.35792404
55,0.4202549
56,0.49270356
57,0.2628296
58,0.40818495
59,0.48761302
60,0.4462257
61,0.35444134
62,0.19506635
63,0.25555843
64,0.1467934
65,0.35559544
66,0.25506985
67,0.45556578
68,0.37331992
69,0.23306873
70,0.26266843
71,0.43037927
72,0.2314606
73,0.17239222
74,0.3705603
75,0.53359604
76,0.2925204
77,0.26043355
78,0.32589608
79,0.21108209
80,0.43846214
81,0.33728603
82,0.20813891
83,0.23258479
84,0.1585693
85,0.37336934
86,0.55602235
87,0.2626781
88,0.36989236
89,0.22202149
90,0.61716294
91,0.39120096
92,0.2070879
93,0.46563303
94,0.26276338
95,0.23559709
96,0.52401245
97,0.2506497
98,0.41360205
99,0.20292497
100,0.38526982
101,0.16267136
102,0.46661192
103,0.4751503
104,0.39715284
105,0.4972596
106,0.25598028
107,0.4369036
108,0.44007644
109,0.44003022
110,0.5097085
111,0.54670525
112,0.46178478
113,0.20407341
114,0.22293906
115,0.43052393
116,0.20256586
117,0.44038618
118,0.23413834
119,0.19017498
120,0.26561278
121,0.39128047
122,0.45520252
123,0.20259678
124,0.21081066
125,0.23539254
126,0.2189076
127,0.35853088
128,0.4256432
129,0.25143448
130,0.2013553
131,0.32397145
132,0.24636975
133,0.5357558
134,0.22688055
135,0.42025253
136,0.49839088
137,0.21019244
138,0.3082549
139,0.5342798
140,0.46268648
141,0.27218992
142,0.39879245
143,0.553175
144,0.53109473
145,0.2607857
146,0.3571136
147,0.36191517
148,0.5635078
149,0.25164384
150,0.5296837
151,0.22460794
152,0.18563208
153,0.373677
154,0.25612056
155,0.26780927
156,0.20706257
157,0.2706285
158,0.22729479
159,0.20805328
160,0.40416536
161,0.41746405
162,0.45013598
163,0.25420555
164,0.34179962
165,0.5174696
166,0.38605416
167,0.2272669
168,0.2847445
169,0.1716823
170,0.49916273
171,0.43758792
172,0.32486075
173,0.18528953
174,0.4661429
175,0.22070417
176,0.46176827
177,0.41321015
178,0.24554837
179,0.24819043
180,0.5299596
181,0.44082093
182,0.260067
183,0.22739477
184,0.37062386
185,0.26750338
186,0.2158548
187,0.36292914
188,0.33460277
189,0.24641998
190,0.3861147
191,0.21453488
192,0.43234757
193,0.18222359
194,0.26577482
195,0.2305196
196,0.25847208
197,0.24271755
198,0.24077827
199,0.27290803
200,0.44923028
201,0.21111256
202,0.4592991
203,0.19224578
204,0.5048028
205,0.27179703
206,0.21084851
207,0.48231322
208,0.3058102
209,0.3868059
210,0.45617503
211,0.36031902
212,0.22311525
213,0.32281584
214,0.27904207
215,0.21143124
216,0.17975232
217,0.32181817
218,0.33655572
219,0.49376017
220,0.272488
221,0.18745714
222,0.17848742
223,0.20759262
224,0.42094457
225,0.20018975
226,0.32020354
227,0.21568406
228,0.21841961
229,0.2444566
230,0.5187334
231,0.2636674
232,0.19524139
233,0.21485977
234,0.43781543
235,0.25027934
236,0.17123684
237,0.40656114
238,0.4226719
239,0.23079687
240,0.1888189
241,0.50937235
242,0.51399136
243,0.5768998
244,0.24438956
245,0.3384606
246,0.14749095
247,0.23048943
248,0.26522493
249,0.3807041
250,0.46091038
251,0.2520134
252,0.2386237
253,0.18459398
254,0.32672372
255,0.19040573
256,0.44450557
257,0.23749048
258,0.42715418
259,0.3513989
260,0.23045301
261,0.4306384
262,0.3290277
263,0.27026165
264,0.41665506
265,0.23424253
266,0.3505655
267,0.5741956
268,0.42950383
269,0.32397473
270,0.31888345
271,0.23698062
272,0.17560464
273,0.4137162
274,0.53658426
275,0.22679651
276,0.23797117
277,0.23420459
278,0.24187702
279,0.5678555
280,0.2964368
281,0.36134854
282,0.39307293
283,0.3112425
284,0.27879673
285,0.3896653
286,0.2071329
287,0.20787038
288,0.21331087
289,0.16137439
290,0.33118498
291,0.18176755
292,0.53106546
293,0.25855207
294,0.3121129
295,0.23420274
296,0.20459023
297,0.2527156
298,0.2217451
299,0.20492923
300,0.5596783
301,0.2098217
302,0.17325959
303,0.21666697
304,0.20125803
305,0.18821758
306,0.15459016
307,0.40363193
308,0.3211543
309,0.3198314
310,0.40591964
311,0.3262148
312,0.24358524
313,0.4493746
314,0.1567168
315,0.39153835
316,0.4961427
317,0.24486734
318,0.4859697
319,0.26828068
320,0.41798747
321,0.39887407
322,0.4669636
323,0.33490813
324,0.51327986
325,0.3147372
326,0.22969767
327,0.5603229
328,0.23313409
329,0.3989962
330,0.1765134
331,0.3826003
332,0.23538107
333,0.24656357
334,0.22503966
335,0.5288647
336,0.19615489
337,0.5079481
338,0.22919515
339,0.21541098
340,0.21215358
341,0.20691353
342,0.24760869
343,0.4368871
344,0.37784886
345,0.22829098
346,0.4211008
347,0.22659698
348,0.35879785
349,0.40383855
350,0.24613075
351,0.43564603
352,0.29738936
353,0.4121216
354,0.45301765
355,0.3235217
356,0.31606203
357,0.21440926
358,0.19893649
359,0.47163674
360,0.1997433
361,0.21725997
362,0.35904413
363,0.25398582
364,0.41010725
365,0.32170096
366,0.27546364
367,0.5241247
368,0.36912885
369,0.26021487
370,0.28759438
371,0.21312349
372,0.30289423
373,0.21735996
374,0.41764444
375,0.18501529
376,0.43626627
377,0.18677303
378,0.23808877
379,0.26773244
380,0.27291107
381,0.26981267
382,0.24717152
383,0.27401698
384,0.23094465
385,0.2554616
386,0.19033042
387,0.4939655
388,0.17788544
389,0.21342567
390,0.2654049
391,0.2616734
392,0.49650335
393,0.21749662
394,0.18421078
395,0.37654722
396,0.2396309
397,0.25508592
398,0.4584447
399,0.5312878
400,0.39549595
401,0.35856396
402,0.3571196
403,0.22359481
404,0.43456763
405,0.17723083
406,0.31969166
407,0.3861064
408,0.17239997
409,0.22936645
410,0.4149098
411,0.20321195
412,0.48722595
413,0.2262004
414,0.34103066
