,0
0,376
1,194
2,394
3,141
4,340
5,190
6,353
7,200
8,382
9,275
10,324
11,369
12,354
13,252
14,223
15,310
16,295
17,268
18,324
19,419
20,249
21,315
22,228
23,369
24,181
25,356
26,256
27,365
28,215
29,216
30,342
31,66
32,176
33,397
34,263
35,220
36,291
37,169
38,187
39,238
40,283
41,371
42,420
43,377
44,219
45,168
46,249
47,302
48,175
49,369
50,242
51,215
52,307
53,282
54,270
55,256
56,276
57,224
58,323
59,420
60,292
61,348
62,342
63,420
64,238
65,246
66,384
67,264
68,397
69,405
70,406
71,329
72,268
73,222
74,204
75,215
76,356
77,281
78,436
79,440
80,349
81,243
82,358
83,428
84,374
85,237
86,333
87,316
88,282
89,330
90,317
91,270
92,189
93,228
94,315
95,201
96,479
97,311
98,249
99,155
100,309
101,163
102,297
103,338
104,307
105,274
106,269
107,287
108,433
109,191
110,340
111,253
112,309
113,367
114,219
115,116
116,326
117,202
118,367
119,395
120,353
121,383
122,351
123,372
124,194
125,321
126,362
127,429
128,357
129,380
130,376
131,260
132,361
133,410
134,435
135,187
136,139
137,275
138,345
139,236
140,409
141,178
142,223
143,373
144,338
145,226
146,302
147,291
148,226
149,284
150,370
151,295
152,370
153,356
154,137
155,283
156,254
157,299
158,276
159,314
160,292
161,181
162,159
163,403
164,297
165,239
166,187
167,387
168,172
169,249
170,225
171,338
172,363
173,134
174,247
175,304
176,464
177,318
178,356
179,420
180,210
181,219
182,113
183,276
184,238
185,313
186,160
187,256
188,188
189,196
190,273
191,173
192,241
193,189
194,280
195,431
196,298
197,172
198,355
199,346
200,252
201,316
202,317
203,226
204,369
205,200
206,173
207,255
208,376
209,308
210,228
211,276
212,201
213,316
214,196
215,192
216,344
217,278
218,415
219,308
220,268
221,361
222,190
223,382
224,234
225,330
226,284
227,350
228,180
229,186
230,326
231,68
232,275
233,164
234,315
235,372
236,241
237,277
238,397
239,198
240,302
241,269
242,410
243,364
244,175
245,165
246,157
247,284
248,268
249,238
250,314
251,404
252,313
253,391
254,454
255,294
256,195
257,206
258,435
259,231
260,368
261,199
262,413
263,245
264,321
265,406
266,156
267,351
268,319
269,239
270,268
271,76
272,184
273,368
274,309
275,235
276,317
277,327
278,259
279,227
280,223
281,117
282,191
283,229
284,237
285,314
286,332
287,447
288,266
289,409
290,379
291,251
292,305
293,337
294,267
295,260
296,420
297,349
298,353
299,214
300,444
301,417
302,212
303,142
304,437
305,207
306,307
307,231
308,386
309,359
310,139
311,462
312,374
313,408
314,134
315,352
316,304
317,87
318,294
319,235
320,318
321,241
322,292
323,355
324,458
325,381
326,164
327,305
328,121
329,222
330,245
331,115
332,322
333,125
334,310
335,360
336,331
337,351
338,321
339,359
340,446
341,312
342,102
343,227
344,317
345,339
346,142
347,403
348,443
349,336
350,151
351,376
352,405
353,261
354,398
355,289
356,154
357,245
358,384
359,336
360,256
361,349
362,410
363,362
364,144
365,202
366,268
367,271
368,299
369,192
370,254
371,269
372,215
373,279
374,266
375,297
376,212
377,392
378,346
379,350
380,430
381,457
382,321
383,263
384,317
385,349
386,319
387,168
388,319
389,111
390,293
391,341
392,396
393,260
394,203
395,306
396,196
397,430
398,162
399,319
400,215
401,271
402,200
403,376
404,309
405,270
406,266
407,355
408,392
409,182
410,490
411,224
412,373
413,325
414,179
415,164
416,392
417,205
418,261
419,271
420,250
421,342
422,167
423,265
424,215
425,269
426,197
427,244
428,187
429,241
430,385
431,335
432,356
433,129
434,382
435,261
436,318
437,151
438,282
439,399
440,247
441,253
442,155
443,305
444,370
445,81
446,275
447,367
448,286
449,309
450,106
451,372
452,348
453,282
454,119
455,186
456,291
457,368
458,259
459,293
460,295
461,315
462,430
463,243
464,187
465,283
466,325
467,125
468,202
469,350
470,228
471,167
472,324
473,389
474,307
475,364
476,117
477,354
478,367
479,360
480,262
481,342
482,237
483,239
484,295
485,358
486,440
487,203
488,359
489,368
490,261
491,250
492,337
493,249
494,237
495,173
496,471
497,261
498,186
499,78
500,391
501,253
502,169
503,342
504,200
505,235
506,331
507,399
508,386
509,398
510,194
511,355
