,0
0,0.20036128
1,0.5846919
2,0.2522263
3,0.47339165
4,0.21425855
5,0.45419484
6,0.16828191
7,0.55819905
8,0.17471048
9,0.17982796
10,0.16710067
11,0.21952853
12,0.177629
13,0.47581685
14,0.48252124
15,0.6115226
16,0.26554736
17,0.21748608
18,0.18210436
19,0.20755088
20,0.40851778
21,0.17144608
22,0.39114028
23,0.19271754
24,0.5628452
25,0.29374886
26,0.16988796
27,0.4956596
28,0.57169044
29,0.5267073
30,0.18712977
31,0.5043606
32,0.41847607
33,0.23275733
34,0.52223504
35,0.52410764
36,0.21885434
37,0.35170996
38,0.4975164
39,0.22579336
40,0.17771392
41,0.24759832
42,0.31855184
43,0.27081984
44,0.53346884
45,0.19194108
46,0.3708609
47,0.20682961
48,0.36215407
49,0.17782022
50,0.2579383
51,0.40636754
52,0.17596522
53,0.5110214
54,0.39023095
55,0.22793245
56,0.21252444
57,0.3850627
58,0.5103175
59,0.26314998
60,0.1903937
61,0.34656572
62,0.2812669
63,0.28784955
64,0.27899164
65,0.19347455
66,0.45829147
67,0.4897967
68,0.439209
69,0.21759035
70,0.24751288
71,0.22980061
72,0.21369123
73,0.19389987
74,0.41934165
75,0.6422328
76,0.19416602
77,0.26084337
78,0.19884743
79,0.23986875
80,0.16035414
81,0.44947898
82,0.34006113
83,0.1740044
84,0.25366518
85,0.3112147
86,0.20676544
87,0.1842148
88,0.25663805
89,0.23329511
90,0.46731597
91,0.1848354
92,0.39867315
93,0.5551002
94,0.19861422
95,0.41297227
96,0.20668377
97,0.17588812
98,0.46118328
99,0.31586164
100,0.5801197
101,0.293401
102,0.16854048
103,0.18263003
104,0.20067093
105,0.18428081
106,0.4387092
107,0.45018685
108,0.16225486
109,0.40012625
110,0.34102988
111,0.18178232
112,0.28380388
113,0.22288704
114,0.48302582
115,0.44284284
116,0.17242754
117,0.15198986
118,0.15086722
119,0.2252548
120,0.22069284
121,0.17924282
122,0.43993005
123,0.20753196
124,0.21502286
125,0.43052045
126,0.2570933
127,0.23982662
128,0.17169046
129,0.17191094
130,0.21056464
131,0.52854156
132,0.22805622
133,0.63950545
134,0.22299474
135,0.5121969
136,0.49440745
137,0.38238764
138,0.18302669
139,0.5450642
140,0.59167707
141,0.52404153
142,0.20699416
143,0.17508426
144,0.16815099
145,0.3227169
146,0.15927282
147,0.47499543
148,0.51916283
149,0.33922356
150,0.20443425
151,0.17647149
152,0.22629595
153,0.49690482
154,0.35633034
155,0.48581812
156,0.1882963
157,0.22521678
158,0.2281833
159,0.32797432
160,0.235614
161,0.5654497
162,0.32170674
163,0.16871282
164,0.46220338
165,0.50005424
166,0.48830277
167,0.21953696
168,0.19333148
169,0.16010576
170,0.5633615
171,0.21268919
172,0.1662225
173,0.19410947
174,0.22165999
175,0.30634812
176,0.16254851
177,0.39264676
178,0.4676683
179,0.17274429
180,0.4764924
181,0.20643258
182,0.40221605
183,0.34407753
184,0.5461575
185,0.18461466
186,0.5731399
187,0.46499044
188,0.21145853
189,0.53020227
190,0.16148001
191,0.45912895
192,0.4893504
193,0.36717626
194,0.35294235
195,0.20784399
196,0.21895206
197,0.414528
198,0.18836835
199,0.45862347
200,0.20795023
201,0.27783114
202,0.43626782
203,0.35683036
204,0.18053943
205,0.5438793
206,0.36322394
207,0.17846622
208,0.23686114
209,0.4952913
210,0.37794146
211,0.23297903
212,0.23961753
213,0.5057267
214,0.501184
215,0.3315007
216,0.20936927
217,0.5003704
218,0.19992855
219,0.30863523
220,0.17252316
221,0.3757076
222,0.15497139
223,0.20985283
224,0.15037721
225,0.30918902
226,0.25798818
227,0.16553542
228,0.20614554
229,0.5160209
230,0.20979963
231,0.39287367
232,0.5069402
233,0.5193007
234,0.47240323
235,0.273048
236,0.44810095
237,0.18980989
238,0.2561072
239,0.29012206
240,0.25707233
241,0.18592663
242,0.24898532
243,0.48889658
244,0.46417528
245,0.20819473
246,0.3186375
247,0.26386502
248,0.47026455
249,0.5351459
250,0.53031486
251,0.23683438
252,0.2813185
253,0.2219637
254,0.17301868
255,0.18957996
256,0.23435111
257,0.45365202
258,0.16319162
259,0.526669
260,0.43345314
261,0.57319814
262,0.2409203
263,0.27638173
264,0.22514415
265,0.22568105
266,0.24383688
267,0.55849946
268,0.18683288
269,0.47774208
270,0.28533226
271,0.566564
272,0.22986302
273,0.15605825
274,0.27591294
275,0.52815974
276,0.51849836
277,0.2593701
278,0.5241019
279,0.48016566
280,0.5329981
281,0.30900234
282,0.3430403
283,0.25263816
284,0.49454284
285,0.20590442
286,0.21235064
287,0.31232643
288,0.20912907
289,0.21551806
290,0.5609727
291,0.16880494
292,0.16866483
293,0.18728419
294,0.25802243
295,0.20688744
296,0.22682759
297,0.17481351
298,0.22886772
299,0.16268238
300,0.20994169
301,0.18786776
302,0.46150744
303,0.29479292
304,0.23874402
305,0.42142427
306,0.15729061
307,0.23255128
308,0.16362423
