,0
0,0.43997294
1,0.19858786
2,0.3123601
3,0.34714687
4,0.4557855
5,0.38214418
6,0.44928312
7,0.4286548
8,0.37109774
9,0.5086256
10,0.47978157
11,0.20897134
12,0.356858
13,0.38207757
14,0.35243392
15,0.50780725
16,0.45635912
17,0.30258077
18,0.561522
19,0.4816739
20,0.39726573
21,0.38633665
22,0.3403253
23,0.4417761
24,0.3484516
25,0.41116613
26,0.3718471
27,0.28261667
28,0.304416
29,0.4109395
30,0.38225853
31,0.23819634
32,0.40850163
33,0.4102464
34,0.34930468
35,0.46947372
36,0.38549602
37,0.26594394
38,0.40891394
39,0.44121188
40,0.28167194
41,0.31494474
42,0.2791679
43,0.3329662
44,0.5228267
45,0.71400917
46,0.3560868
47,0.5546583
48,0.66856635
49,0.2941575
50,0.4871237
51,0.49628645
52,0.38288373
53,0.40260288
54,0.3826038
55,0.4053005
56,0.4240657
57,0.17800824
58,0.34542477
59,0.2709281
60,0.42539334
61,0.53238094
62,0.36912698
63,0.24351874
64,0.34055054
65,0.40351084
66,0.38668662
67,0.50007975
68,0.29306352
69,0.3837512
70,0.35758027
71,0.33907306
72,0.30517435
73,0.2423392
74,0.5345831
75,0.3583529
76,0.17849053
77,0.3832512
78,0.38016117
79,0.25179893
80,0.47801208
81,0.30409622
82,0.37289038
83,0.2068376
84,0.20766732
85,0.33649045
86,0.3125349
87,0.30965716
88,0.3231145
89,0.45888454
90,0.37055176
91,0.29712588
92,0.41146928
93,0.5718286
94,0.53154397
95,0.29893154
96,0.2703334
97,0.5548477
98,0.3859831
99,0.31611753
100,0.35404927
101,0.4723166
102,0.4737215
103,0.42896196
104,0.4498785
105,0.5148829
106,0.43523425
107,0.37863925
108,0.32230005
109,0.4094515
110,0.44366616
111,0.4346352
112,0.4744463
113,0.22393623
114,0.32994688
115,0.7387178
116,0.47052714
117,0.3746236
118,0.446822
119,0.44243342
120,0.18359777
121,0.43026745
122,0.30242395
123,0.23186816
124,0.53295165
125,0.2907235
126,0.3484922
127,0.46292794
128,0.42332402
129,0.43373367
130,0.30811504
131,0.28693628
132,0.2869385
133,0.587919
134,0.25954956
135,0.43205178
136,0.5797056
137,0.41310668
138,0.24614248
139,0.572772
140,0.3153839
141,0.47892734
142,0.42326564
143,0.5929223
144,0.41391295
145,0.25172877
146,0.4341447
147,0.2782249
148,0.3831498
149,0.42621976
150,0.34391636
151,0.2479696
152,0.32503656
153,0.31723696
154,0.38932395
155,0.17171223
156,0.29391906
157,0.39752465
158,0.40505835
159,0.2652036
160,0.3079034
161,0.42647332
162,0.6814273
163,0.48828566
164,0.27808255
165,0.5487548
166,0.53050315
167,0.39241365
168,0.34033448
169,0.43912855
170,0.4547916
171,0.49998152
172,0.40761834
173,0.3210112
174,0.5698012
175,0.48017833
176,0.47848606
177,0.47740078
178,0.40520194
179,0.317532
180,0.4743493
181,0.4524129
182,0.6241935
183,0.2499755
184,0.3623355
185,0.48972973
186,0.39412794
187,0.42403945
188,0.3929312
189,0.42094028
190,0.57125604
191,0.5024258
192,0.40280783
193,0.37547234
194,0.23454304
195,0.36696762
196,0.44996572
197,0.23580015
198,0.43125904
199,0.45705914
200,0.34118336
201,0.36643404
202,0.47888976
203,0.22291997
204,0.43554592
205,0.6003227
206,0.22448544
207,0.36463916
208,0.22926676
209,0.33612564
210,0.47718287
211,0.33659053
212,0.37261963
213,0.2582244
214,0.2778259
215,0.44324824
216,0.21569996
217,0.49532717
218,0.23359168
219,0.32706332
220,0.33481666
221,0.24211377
222,0.28300536
223,0.3999162
224,0.35732448
225,0.29279083
226,0.35508823
227,0.47198534
228,0.414726
229,0.5375018
230,0.42751288
231,0.4275059
232,0.40219527
233,0.3226098
234,0.56976455
235,0.25787956
236,0.57974505
237,0.42842692
238,0.5154873
239,0.4026122
240,0.3940862
241,0.37082052
242,0.5846678
243,0.3297424
244,0.44393972
245,0.48296905
246,0.2109012
247,0.39838272
248,0.3706826
249,0.387272
250,0.47761768
251,0.21586475
252,0.3874321
253,0.35490617
254,0.30484802
255,0.1829212
256,0.45251495
257,0.5328206
258,0.3371377
259,0.44734687
260,0.2685383
261,0.30396527
262,0.29747242
263,0.38608056
264,0.3581921
265,0.30001816
266,0.43825084
267,0.6084072
268,0.50910544
269,0.2979897
270,0.47678977
271,0.543299
272,0.41549182
273,0.4107572
274,0.47475612
275,0.4416641
276,0.2535749
277,0.20337754
278,0.28249115
279,0.6401547
280,0.22948703
281,0.6718429
282,0.48610368
283,0.48501903
284,0.50436765
285,0.29777324
286,0.18968584
287,0.3070938
288,0.37620223
289,0.41215613
290,0.34931457
291,0.2983793
292,0.36016023
293,0.4647531
294,0.36376995
295,0.54138124
296,0.1533516
297,0.63522005
298,0.2727834
299,0.5027846
300,0.30922222
301,0.42777547
302,0.41816002
303,0.32127446
304,0.284992
305,0.38950723
306,0.24115048
307,0.3571636
308,0.5940262
309,0.21170998
310,0.38720495
311,0.4287101
312,0.23867097
313,0.35363346
314,0.32800746
