,0
0,141
1,234
2,352
3,375
4,206
5,257
6,376
7,349
8,399
9,270
10,385
11,275
12,311
13,376
14,204
15,208
16,412
17,167
18,391
19,171
20,245
21,392
22,154
23,83
24,281
25,167
26,352
27,422
28,186
29,339
30,375
31,225
32,308
33,172
34,448
35,150
36,268
37,160
38,271
39,371
40,138
41,104
42,336
43,311
44,149
45,306
46,183
47,419
48,212
49,268
50,410
51,160
52,144
53,445
54,311
55,424
56,324
57,237
58,437
59,355
60,380
61,156
62,255
63,249
64,93
65,310
66,278
67,447
68,493
69,168
70,477
71,467
72,87
73,140
74,366
75,343
76,278
77,143
78,105
79,325
80,370
81,189
82,237
83,197
84,169
85,375
86,359
87,320
88,337
89,144
90,395
91,385
92,353
93,403
94,318
95,350
96,393
97,382
98,434
99,266
100,314
101,250
102,395
103,356
104,295
105,286
106,177
107,450
108,390
109,421
110,370
111,265
112,418
113,103
114,373
115,366
116,149
117,296
118,195
119,233
120,342
121,442
122,460
123,224
124,211
125,357
126,130
127,365
128,407
129,75
130,123
131,247
132,345
133,441
134,226
135,375
136,358
137,263
138,318
139,320
140,441
141,260
142,439
143,321
144,291
145,417
146,145
147,298
148,362
149,448
150,333
151,335
152,121
153,344
154,348
155,414
156,279
157,187
158,330
159,187
160,366
161,432
162,373
163,159
164,451
165,333
166,389
167,135
168,376
169,282
170,317
171,289
172,305
173,311
174,284
175,150
176,375
177,412
178,410
179,134
180,407
181,333
182,161
183,185
184,431
185,209
186,200
187,130
188,306
189,127
190,335
191,299
192,317
193,415
194,265
195,356
196,416
197,362
198,147
199,241
200,313
201,95
202,372
203,275
204,303
205,435
206,332
207,263
208,107
209,453
210,413
211,300
212,179
213,446
214,312
215,116
216,336
217,446
218,423
219,332
220,379
221,230
222,310
223,150
224,351
225,137
226,362
227,186
228,398
229,419
230,328
231,162
232,181
233,99
234,466
235,351
236,370
237,346
238,373
239,286
240,186
241,337
242,363
243,388
244,375
245,336
246,262
247,364
248,150
249,400
250,447
251,376
252,224
253,169
254,282
255,143
256,421
257,405
258,360
259,465
260,451
261,359
262,153
263,357
264,344
265,142
266,391
267,431
268,221
269,420
270,441
271,160
272,107
273,311
274,339
275,429
276,425
277,411
278,429
279,324
280,406
281,333
282,437
283,364
284,443
285,334
286,135
287,403
288,127
289,188
290,297
291,282
292,305
293,210
294,110
295,258
296,384
297,137
298,129
299,352
300,437
301,391
302,145
303,153
304,162
305,302
306,358
307,379
308,218
309,363
310,352
311,176
312,199
313,368
314,249
315,303
316,444
317,183
318,264
319,464
320,414
321,348
322,275
323,404
324,385
325,410
326,224
327,302
328,278
329,338
330,359
331,368
332,254
333,99
334,212
335,310
336,407
337,335
338,136
339,188
340,263
341,431
342,175
343,391
344,458
345,259
346,308
347,127
348,356
349,444
350,337
351,396
352,460
353,349
354,326
355,367
356,357
357,287
358,283
359,290
360,417
361,149
362,361
363,144
364,354
365,413
366,377
367,357
368,439
369,182
370,407
371,248
372,426
373,450
374,431
375,158
376,327
377,174
378,128
379,97
380,324
381,288
382,156
383,422
384,129
385,414
386,219
387,392
388,135
389,207
390,452
391,409
392,451
393,332
394,444
395,345
396,156
397,189
398,366
399,409
400,396
401,148
402,301
403,233
404,386
405,217
406,418
407,401
408,175
409,125
410,424
411,180
412,395
413,265
414,343
415,364
416,120
417,146
418,412
419,348
420,377
421,119
422,310
423,281
424,162
425,455
426,262
427,202
428,316
429,320
430,362
431,345
432,189
433,335
434,329
435,307
436,453
437,389
438,150
439,347
440,340
441,158
442,221
443,190
444,152
445,211
446,415
447,407
448,209
449,137
450,336
451,120
452,253
453,357
454,357
455,136
456,291
457,398
458,370
459,277
460,73
461,365
462,367
463,359
464,455
465,355
466,337
467,136
468,313
469,317
470,325
471,416
472,424
473,246
474,373
475,422
476,356
477,309
478,434
479,413
480,451
481,269
482,345
483,344
484,358
485,382
486,246
487,438
488,406
489,181
490,422
491,294
492,72
493,180
494,246
495,385
496,351
497,263
498,151
499,198
500,320
501,173
502,226
503,217
504,315
505,267
506,485
507,342
508,294
509,122
510,127
511,145
