,0
0,0.56554157
1,0.33820048
2,0.5122956
3,0.27572155
4,0.28567705
5,0.34872574
6,0.23720562
7,0.50130814
8,0.21659939
9,0.31374228
10,0.5786695
11,0.18567705
12,0.2352787
13,0.5477108
14,0.2883827
15,0.47470373
16,0.4564744
17,0.23416469
18,0.4944279
19,0.36911035
20,0.4018299
21,0.30982107
22,0.35040876
23,0.48557776
24,0.35025322
25,0.2564959
26,0.26049525
27,0.36156887
28,0.45322073
29,0.5417614
30,0.20339805
31,0.33359727
32,0.3316905
33,0.46700823
34,0.25599033
35,0.4953257
36,0.20867077
37,0.35318792
38,0.41362283
39,0.5564854
40,0.17769831
41,0.1982395
42,0.292924
43,0.20606643
44,0.5348733
45,0.62162286
46,0.34163845
47,0.4240721
48,0.45799392
49,0.25793436
50,0.41161633
51,0.32967055
52,0.43529797
53,0.45902175
54,0.2897519
55,0.49236318
56,0.53649926
57,0.2675684
58,0.24043319
59,0.35850072
60,0.59153914
61,0.3620646
62,0.303706
63,0.22068617
64,0.33643764
65,0.216765
66,0.28807318
67,0.627856
68,0.4245599
69,0.27402508
70,0.24113196
71,0.51487637
72,0.3838128
73,0.23420522
74,0.5632572
75,0.3391864
76,0.1509985
77,0.2202105
78,0.39419323
79,0.21373601
80,0.65144825
81,0.25612542
82,0.30787516
83,0.12892126
84,0.23612693
85,0.44871414
86,0.50218475
87,0.23446074
88,0.25383466
89,0.371395
90,0.5851951
91,0.50260377
92,0.28725344
93,0.64993906
94,0.3824362
95,0.24714565
96,0.57812905
97,0.28961983
98,0.5063814
99,0.23002468
100,0.2477102
101,0.24152063
102,0.66237855
103,0.44719565
104,0.5242706
105,0.47923595
106,0.3695994
107,0.58680093
108,0.47502533
109,0.5459151
110,0.47177288
111,0.6891341
112,0.6027694
113,0.25020716
114,0.23520854
115,0.6425561
116,0.44157565
117,0.5352337
118,0.5454674
119,0.28188366
120,0.12962122
121,0.5430962
122,0.56749487
123,0.18446913
124,0.37166026
125,0.21190757
126,0.2693416
127,0.46139932
128,0.64055175
129,0.48913366
130,0.22343577
131,0.26058155
132,0.22209089
133,0.53415704
134,0.25835776
135,0.64440465
136,0.5805123
137,0.46281072
138,0.29570615
139,0.5173789
140,0.420215
141,0.40567654
142,0.4455234
143,0.66627
144,0.6674937
145,0.5073155
146,0.25611955
147,0.30842394
148,0.41364014
149,0.37006596
150,0.56631804
151,0.16391942
152,0.2947644
153,0.17729616
154,0.21062861
155,0.20101961
156,0.19987793
157,0.20376983
158,0.25186735
159,0.36521232
160,0.34971356
161,0.58100104
162,0.4894597
163,0.54283464
164,0.4231297
165,0.52790767
166,0.6794033
167,0.27711606
168,0.47727093
169,0.23506042
170,0.32247165
171,0.5408148
172,0.20506513
173,0.29085636
174,0.20823991
175,0.38899943
176,0.51450616
177,0.5976806
178,0.27353162
179,0.27806002
180,0.58572286
181,0.5875645
182,0.47473276
183,0.34567088
184,0.5025106
185,0.3337
186,0.45087853
187,0.30401844
188,0.51326764
189,0.41808498
190,0.63633925
191,0.32279313
192,0.2954907
193,0.2327837
194,0.26952064
195,0.16244823
196,0.21477364
197,0.22213337
198,0.42045566
199,0.45137745
200,0.32814425
201,0.48642942
202,0.21653412
203,0.27061144
204,0.65698457
205,0.37657326
206,0.19234243
207,0.70969784
208,0.27126947
209,0.5173166
210,0.52558386
211,0.26043254
212,0.20548055
213,0.3664217
214,0.28333867
215,0.392453
216,0.2557764
217,0.566529
218,0.4627515
219,0.2975495
220,0.4438667
221,0.29810715
222,0.2591931
223,0.34680408
224,0.5003762
225,0.3566851
226,0.2589011
227,0.5839747
228,0.16771188
229,0.33513808
230,0.67452526
231,0.35901177
232,0.5345552
233,0.5424921
234,0.6612563
235,0.18045872
236,0.2891106
237,0.24527588
238,0.64218825
239,0.15522131
240,0.29598117
241,0.42889693
242,0.5976926
243,0.5540354
244,0.32680023
245,0.56445086
246,0.19943185
247,0.2550919
248,0.4389279
249,0.53876233
250,0.6315909
251,0.19790262
252,0.39159617
253,0.4770825
254,0.24916844
255,0.2393147
256,0.49188277
257,0.40346187
258,0.546992
259,0.55559397
260,0.22012806
261,0.38613063
262,0.23685847
263,0.23793583
264,0.26655
265,0.30531502
266,0.44602603
267,0.5357369
268,0.20153737
269,0.44223902
270,0.37933406
271,0.6382241
272,0.40921074
273,0.6696379
274,0.46122134
275,0.3395207
276,0.35774562
277,0.09950705
278,0.27590346
279,0.67785084
280,0.26066667
281,0.62568855
282,0.537457
283,0.3677997
284,0.2617597
285,0.23235366
286,0.32129693
287,0.25224578
288,0.6049155
289,0.31301153
290,0.32603252
291,0.23953323
292,0.60299766
293,0.38471556
294,0.3731295
295,0.37043518
296,0.15812713
297,0.6377508
298,0.29951245
299,0.2691703
300,0.32996085
301,0.2379913
302,0.35778302
303,0.33995003
304,0.40987617
305,0.22955683
306,0.18143114
307,0.48769078
308,0.4342107
309,0.2640455
310,0.50938404
311,0.42171985
312,0.21190119
313,0.49910626
314,0.32790077
315,0.42363253
316,0.63251233
317,0.39090383
318,0.62141395
319,0.2209131
320,0.37416273
321,0.6233239
322,0.27492926
323,0.27680415
324,0.53725827
325,0.1825659
326,0.37881398
327,0.68854845
328,0.2858785
329,0.5290215
330,0.37358657
331,0.3969373
332,0.16309191
333,0.64701194
334,0.45173916
335,0.5781706
336,0.29941648
337,0.34252757
338,0.29705065
339,0.26996273
340,0.3080669
341,0.19570038
342,0.4844359
343,0.61780655
344,0.5412247
345,0.4408555
346,0.6545367
347,0.37555525
348,0.19704685
349,0.556702
350,0.25418454
351,0.57377267
352,0.30268836
353,0.3127442
354,0.28011042
355,0.394067
356,0.32688016
357,0.42720184
358,0.39596266
359,0.38260984
360,0.33460644
361,0.37982023
362,0.3235553
363,0.44519517
364,0.5692557
365,0.4168602
366,0.36461943
367,0.3953321
368,0.49767053
369,0.44391966
370,0.39493224
