,0
0,228
1,246
2,416
3,315
4,263
5,150
6,190
7,322
8,202
9,204
10,349
11,265
12,431
13,418
14,188
15,280
16,455
17,219
18,333
19,214
20,186
21,249
22,183
23,95
24,376
25,224
26,225
27,480
28,260
29,366
30,232
31,220
32,168
33,242
34,387
35,145
36,263
37,192
38,386
39,256
40,282
41,244
42,454
43,312
44,157
45,226
46,187
47,407
48,298
49,388
50,407
51,159
52,258
53,444
54,304
55,350
56,272
57,180
58,427
59,331
60,354
61,179
62,309
63,152
64,159
65,194
66,325
67,451
68,465
69,344
70,437
71,407
72,136
73,138
74,276
75,313
76,318
77,339
78,191
79,233
80,381
81,347
82,270
83,280
84,130
85,346
86,298
87,330
88,259
89,129
90,341
91,380
92,331
93,290
94,318
95,271
96,356
97,218
98,430
99,233
100,323
101,131
102,373
103,240
104,236
105,242
106,174
107,396
108,389
109,376
110,443
111,268
112,358
113,189
114,391
115,297
116,260
117,272
118,225
119,317
120,427
121,403
122,450
123,128
124,218
125,311
126,132
127,437
128,348
129,127
130,268
131,349
132,360
133,460
134,254
135,286
136,300
137,269
138,270
139,359
140,433
141,321
142,361
143,393
144,253
145,425
146,226
147,297
148,380
149,438
150,377
151,213
152,241
153,442
154,290
155,300
156,386
157,212
158,270
159,192
160,287
161,438
162,314
163,209
164,425
165,380
166,290
167,280
168,288
169,307
170,376
171,238
172,369
173,302
174,294
175,324
176,357
177,441
178,462
179,143
180,308
181,330
182,137
183,171
184,426
185,221
186,166
187,282
188,289
189,168
190,361
191,308
192,327
193,392
194,261
195,230
196,222
197,347
198,275
199,337
200,273
201,208
202,324
203,365
204,249
205,436
206,177
207,321
208,301
209,468
210,293
211,242
212,201
213,344
214,268
215,177
216,325
217,436
218,451
219,365
220,376
221,182
222,304
223,276
224,331
225,239
226,268
227,208
228,423
229,328
230,298
231,216
232,298
233,178
234,437
235,436
236,268
237,206
238,379
239,166
240,286
241,232
242,378
243,449
244,166
245,333
246,195
247,222
248,163
249,438
250,424
251,404
252,370
253,230
254,378
255,125
256,300
257,440
258,367
259,344
260,453
261,318
262,224
263,149
264,243
265,296
266,303
267,360
268,243
269,438
270,418
271,189
272,100
273,241
274,436
275,423
276,472
277,306
278,278
279,366
280,282
281,289
282,284
283,227
284,364
285,205
286,267
287,397
288,102
289,206
290,325
291,128
292,423
293,220
294,284
295,271
296,320
297,213
298,269
299,329
300,369
301,344
302,195
303,208
304,195
305,298
306,377
307,261
308,257
309,330
310,307
311,240
312,216
313,338
314,212
315,259
316,397
317,213
318,269
319,382
320,403
321,232
322,261
323,275
324,431
325,355
326,236
327,241
328,158
329,234
330,295
331,299
332,202
333,200
334,297
335,379
336,408
337,359
338,74
339,245
340,267
341,342
342,171
343,267
344,461
345,230
346,253
347,167
348,215
349,431
350,138
351,369
352,460
353,210
354,379
355,400
356,290
357,314
358,292
359,227
360,352
361,247
362,391
363,293
364,363
365,419
366,367
367,312
368,411
369,237
370,458
371,340
372,348
373,343
374,399
375,295
376,249
377,248
378,264
379,283
380,343
381,367
382,269
383,391
384,107
385,463
386,312
387,297
388,268
389,285
390,453
391,399
392,410
393,299
394,443
395,257
396,147
397,350
398,280
399,443
400,286
401,263
402,255
403,319
404,289
405,282
406,290
407,348
408,294
409,175
410,394
411,155
412,381
413,199
414,299
415,305
416,214
417,194
418,446
419,320
420,234
421,204
422,291
423,284
424,235
425,303
426,426
427,277
428,379
429,333
430,469
431,414
432,303
433,297
434,314
435,393
436,432
437,367
438,289
439,365
440,228
441,330
442,292
443,300
444,258
445,280
446,444
447,374
448,241
449,290
450,306
451,118
452,320
453,391
454,297
455,183
456,283
457,243
458,283
459,252
460,205
461,390
462,364
463,395
464,236
465,363
466,324
467,178
468,274
469,261
470,335
471,431
472,482
473,296
474,382
475,389
476,376
477,297
478,457
479,374
480,423
481,320
482,348
483,342
484,232
485,429
486,312
487,300
488,427
489,217
490,447
491,270
492,216
493,245
494,369
495,286
496,462
497,209
498,155
499,264
500,345
501,143
502,161
503,310
504,276
505,344
506,440
507,435
508,247
509,183
510,232
511,215
