,0
0,0.5542909
1,0.28136086
2,0.25451183
3,0.36383295
4,0.41805327
5,0.45974267
6,0.52251405
7,0.5222881
8,0.18728451
9,0.57291174
10,0.48168018
11,0.18586448
12,0.37448227
13,0.32999212
14,0.24748197
15,0.5015659
16,0.39407164
17,0.31104344
18,0.45407856
19,0.49612832
20,0.38100117
21,0.23457986
22,0.38750243
23,0.2874352
24,0.3227659
25,0.15632579
26,0.3473308
27,0.35191286
28,0.33257973
29,0.4859991
30,0.4011584
31,0.3003003
32,0.36557448
33,0.47893822
34,0.42869276
35,0.5119534
36,0.26040083
37,0.3223489
38,0.43567923
39,0.49045187
40,0.2397908
41,0.18944849
42,0.23536149
43,0.188864
44,0.3889586
45,0.5450526
46,0.22967233
47,0.48000875
48,0.4645555
49,0.38918626
50,0.4040966
51,0.27650753
52,0.47079742
53,0.5632081
54,0.23141411
55,0.39390135
56,0.3834306
57,0.25746775
58,0.46944538
59,0.29958218
60,0.3839572
61,0.22639897
62,0.33831465
63,0.14621377
64,0.18432537
65,0.1998854
66,0.44469225
67,0.47984904
68,0.46890983
69,0.29221147
70,0.32524312
71,0.28277463
72,0.29982057
73,0.3467613
74,0.30288464
75,0.42595142
76,0.12640597
77,0.25874984
78,0.23494932
79,0.15324934
80,0.50432116
81,0.27648318
82,0.4008971
83,0.14760794
84,0.20438068
85,0.32640973
86,0.41666865
87,0.30667648
88,0.2313566
89,0.25938824
90,0.37345344
91,0.32098103
92,0.38763392
93,0.49462947
94,0.44118443
95,0.30686778
96,0.3668186
97,0.6429983
98,0.40946376
99,0.29521155
100,0.4140049
101,0.33229196
102,0.47097278
103,0.31837228
104,0.3336767
105,0.4496342
106,0.3699109
107,0.41149825
108,0.3245688
109,0.39605033
110,0.3461215
111,0.47273713
112,0.44519243
113,0.13933942
114,0.3979196
115,0.48804015
116,0.4755039
117,0.35512385
118,0.55400765
119,0.36135054
120,0.24310882
121,0.3904794
122,0.32430005
123,0.2173424
124,0.51011866
125,0.24966416
126,0.20222086
127,0.36560297
128,0.4877876
129,0.22248322
130,0.17226955
131,0.3410878
132,0.39199084
133,0.4998222
134,0.25612536
135,0.51486534
136,0.5036022
137,0.46961623
138,0.21784326
139,0.5448762
140,0.5237429
141,0.40294242
142,0.3364724
143,0.53119445
144,0.5082663
145,0.22485092
146,0.22540885
147,0.45283943
148,0.39055866
149,0.40395743
150,0.32588488
151,0.24261013
152,0.18645576
153,0.2723116
154,0.29275802
155,0.29250014
156,0.26335204
157,0.22235407
158,0.39662346
159,0.49951088
160,0.34747654
161,0.47170115
162,0.37404835
163,0.5494888
164,0.41261926
165,0.42844015
166,0.5454873
167,0.2093117
168,0.26961344
169,0.38020983
170,0.47107005
171,0.51252425
172,0.3762591
173,0.32656926
174,0.30488062
175,0.23737521
176,0.46386707
177,0.45058185
178,0.34821704
179,0.36619312
180,0.56400067
181,0.4506741
182,0.4449536
183,0.30144674
184,0.42962646
185,0.48427796
186,0.41535488
187,0.29038614
188,0.3846298
189,0.40761524
190,0.42882162
191,0.41546074
