,0
0,-0.19365823
1,-0.003009297
2,0.01697967
3,0.019626485
4,-0.17370312
5,0.03967541
6,0.1386351
7,0.13475844
8,0.010392749
9,-0.15746073
10,0.104457684
11,-0.11558235
12,0.012503967
13,0.14585672
14,0.07814981
15,-0.08569704
16,-0.18114159
17,-0.07135281
18,-0.079960614
19,0.24175233
20,-0.04156068
21,0.13809264
22,-0.07084084
23,0.23623392
24,-0.20128521
25,0.17891774
26,0.049699232
27,0.06756893
28,-0.06282426
29,0.2671147
30,-0.0618764
31,-0.14252353
32,0.004849825
33,-0.24142951
34,-0.014727514
35,0.67112446
36,0.10271818
37,-0.34055835
38,-0.19729057
39,0.034262665
40,-0.8195004
41,-0.13735357
42,0.002131395
43,-0.14430442
44,0.13646415
45,-0.05398431
46,0.013151147
47,-0.023848495
48,-0.20005634
49,-0.40058503
50,-0.06804674
51,-0.023514945
52,-0.1535218
53,-0.1292735
54,0.08416585
55,0.013210057
56,-0.0072476007
57,0.020641014
58,-0.005080331
59,0.013887148
60,-0.007971361
61,0.38688216
62,0.30204844
63,0.03870996
64,-0.07288771
65,0.102279566
66,0.106329635
67,-0.04720167
68,0.14338666
69,-0.13328782
70,0.15617788
71,0.35555828
72,-0.057931066
73,-0.4985378
74,0.11144386
75,0.12059726
76,-0.03326658
77,-0.20703883
78,0.30453655
79,0.047994655
80,0.043137457
81,0.10912544
82,0.32663268
83,-0.07719231
84,-0.081311435
85,-0.023531502
86,0.070124984
87,-0.13299401
88,-0.029826911
89,0.103406444
90,0.46539432
91,-0.081734724
92,-0.38569996
93,0.0647241
94,-0.007781069
95,0.046880707
96,0.3240325
97,0.006982904
98,-0.12057441
99,-0.30782098
100,0.20339221
101,-0.077266745
102,0.12321687
103,0.15403976
104,0.32452673
105,0.20572494
106,0.012174655
107,0.1387394
108,0.020138793
109,0.21772793
110,0.08255753
111,0.26907986
112,0.1287238
113,-0.06359808
114,-0.12247965
115,0.025114406
116,-0.38733488
117,0.024209946
118,-0.17674354
119,-0.2519269
120,-0.26517513
121,0.11653644
122,0.21918213
123,0.20899063
124,-0.15930803
125,0.21589315
126,-0.018291645
127,0.10535212
128,0.10773745
129,0.2673213
130,-0.14510672
131,0.025066284
132,-0.25165936
133,0.07868657
134,-0.1231803
135,0.18788832
136,0.22237445
137,-0.12074345
138,-0.13412607
139,0.13151836
140,0.36945185
141,-0.28351635
142,0.009626272
143,0.18112132
144,0.6539465
145,-0.15855858
146,0.014742166
147,0.06254223
148,0.13237444
149,-0.07338417
150,0.083037674
151,-0.26371562
152,-0.16110322
153,0.006541172
154,-0.10023545
155,-0.054453492
156,-0.2663234
157,0.013496313
158,-0.38640225
159,-0.28145072
160,-0.030280953
161,-0.03376904
162,-0.12935257
163,0.3009183
164,0.112719476
165,0.10332914
166,0.32586938
167,-0.10582018
168,-0.1404489
169,-0.2142346
170,0.12710449
171,0.27626836
172,0.044456802
173,-0.55235577
174,0.111479804
175,-0.09500166
176,0.37849817
177,0.13309816
178,-0.0783533
179,0.04264782
180,0.041958697
181,-0.044776335
182,-0.10645649
183,0.0013286425
184,0.06451016
185,-0.03273926
186,-0.09777664
187,0.08014422
188,-0.037796125
189,-0.060628943
190,0.053059634
191,-0.03841447
192,0.098397985
193,-0.36039007
194,0.10291172
195,0.14926378
196,-0.061819233
197,-0.16892835
198,-0.13719305
199,-0.12113589
200,-0.051422685
201,-0.028220778
202,0.10716486
203,-0.2581103
204,0.65461147
205,-0.09324729
206,-0.024260098
207,0.1257
208,-0.07857728
209,-0.06317153
210,0.02376343
211,-0.042827036
212,-0.25857052
213,0.18009275
214,0.0073766187
215,-0.13276923
216,-0.24404678
217,-0.16821294
218,-0.02943435
219,0.15996458
220,-0.3503193
221,0.082617275
222,-0.5874648
223,-0.12919362
224,-0.032355085
