,0
0,483
1,500
2,485
3,494
4,411
5,378
6,418
7,333
8,456
9,402
10,328
11,499
12,356
13,354
14,252
15,500
16,421
17,499
18,293
19,496
20,496
21,374
22,430
23,454
24,500
25,404
26,498
27,346
28,500
29,278
30,496
31,283
32,494
33,499
34,490
35,298
36,494
37,500
38,374
39,494
40,311
41,465
42,415
43,380
44,413
45,499
46,500
47,500
48,386
49,483
50,354
51,500
52,377
53,494
54,495
55,500
56,498
57,407
58,500
59,499
60,500
61,500
62,244
63,496
64,455
65,499
66,477
67,353
68,464
69,497
70,423
71,410
72,484
73,497
74,249
75,490
76,500
77,446
78,271
79,497
80,388
81,262
82,322
83,400
84,496
85,314
86,484
87,498
88,499
89,495
90,283
91,477
92,428
93,500
94,309
95,261
96,473
97,489
98,441
99,498
100,327
101,496
102,477
103,500
104,268
105,500
106,500
107,290
108,414
109,368
110,362
111,461
112,499
113,456
114,398
115,428
116,483
117,348
118,419
119,398
120,500
121,484
122,345
123,435
124,312
125,293
126,477
127,399
128,494
129,394
130,497
131,472
132,491
133,500
134,499
135,440
136,305
137,480
138,445
139,314
140,361
141,462
142,485
143,292
144,439
145,240
146,498
147,499
148,268
149,490
150,291
151,382
152,497
153,407
154,357
155,480
156,485
157,498
158,303
159,491
160,499
161,449
162,500
163,459
164,330
165,364
166,398
167,500
168,305
169,429
170,367
171,241
172,377
173,258
174,367
175,320
176,390
177,318
178,460
179,390
180,498
181,499
182,265
183,499
184,279
185,499
186,499
187,475
188,273
189,499
190,367
191,450
192,342
193,215
194,264
195,491
196,492
197,428
198,399
199,499
200,499
201,499
202,500
203,499
204,332
205,356
206,353
207,408
208,500
209,495
210,497
211,499
212,373
213,259
214,305
215,480
216,409
217,500
218,355
219,280
220,380
221,435
222,380
223,499
224,397
225,272
226,434
227,482
228,448
229,500
230,402
231,295
232,419
233,433
234,398
235,384
236,384
237,498
238,497
239,382
240,397
241,498
242,500
243,480
244,199
245,332
246,455
247,492
248,295
249,352
250,372
251,500
252,500
253,489
254,364
255,469
256,472
257,279
258,417
259,411
260,457
261,494
262,345
263,425
264,499
265,500
266,477
267,500
268,499
269,277
270,321
271,500
272,439
273,265
274,258
275,500
276,469
277,456
278,276
279,310
280,460
281,317
282,393
283,450
284,258
285,498
286,497
287,485
288,498
289,482
290,353
291,489
292,368
293,498
294,326
295,450
296,433
297,256
298,354
299,350
300,489
301,415
302,497
303,500
304,499
305,356
306,390
307,411
308,346
309,439
310,292
311,497
312,498
313,497
314,281
315,308
316,275
317,332
318,486
319,373
320,500
321,392
322,496
323,418
324,459
325,460
326,495
327,283
328,459
329,499
330,326
331,389
332,333
333,377
334,497
335,456
336,366
337,432
338,430
339,499
340,464
341,342
342,500
343,453
344,347
345,420
346,444
347,463
348,311
349,420
350,357
351,406
352,469
353,499
354,477
355,305
356,484
357,276
358,498
359,360
360,444
361,378
362,500
363,499
364,455
365,412
366,380
367,500
368,498
369,353
370,293
371,438
372,374
373,220
374,436
375,495
376,401
377,467
378,412
379,426
380,399
381,460
382,499
383,332
384,499
385,426
386,497
387,500
388,469
389,500
390,498
391,306
392,499
393,409
394,467
395,492
396,499
397,490
398,500
399,488
400,453
401,500
402,500
403,392
404,289
405,446
406,390
407,397
408,490
409,499
410,497
411,181
412,500
413,404
414,314
415,498
416,498
417,496
418,496
419,500
420,493
421,344
422,500
423,483
424,330
425,298
426,306
427,329
428,493
429,370
430,477
431,461
432,358
433,406
434,499
435,269
436,232
437,336
438,374
439,357
440,500
441,460
442,348
443,497
444,413
445,273
446,452
447,498
448,495
449,500
450,412
451,442
452,499
453,297
454,311
455,497
456,500
457,471
458,495
459,495
460,499
461,499
462,300
463,425
464,315
465,482
466,500
467,500
468,500
469,497
470,460
471,297
472,444
473,497
474,392
475,404
476,333
477,298
478,448
479,497
480,303
481,456
482,500
483,450
484,474
485,426
486,419
487,322
488,468
489,490
490,466
491,474
492,493
493,500
494,498
495,497
496,405
497,352
498,498
499,499
500,422
501,497
502,492
503,482
504,479
505,480
506,332
507,341
508,374
509,445
510,500
511,381
