,0
0,260
1,315
2,368
3,319
4,279
5,300
6,169
7,411
8,152
9,83
10,186
11,111
12,396
13,462
14,306
15,399
16,292
17,253
18,203
19,269
20,201
21,154
22,375
23,272
24,210
25,381
26,109
27,491
28,355
29,437
30,109
31,244
32,198
33,215
34,289
35,407
36,307
37,181
38,295
39,129
40,323
41,275
42,466
43,391
44,377
45,99
46,316
47,181
48,279
49,249
50,252
51,356
52,321
53,276
54,397
55,173
56,155
57,336
58,300
59,316
60,149
61,323
62,426
63,96
64,334
65,90
66,421
67,297
68,414
69,301
70,429
71,281
72,224
73,116
74,267
75,409
76,148
77,388
78,301
79,172
80,242
81,452
82,420
83,358
84,243
85,442
86,336
87,188
88,155
89,280
90,465
91,146
92,253
93,237
94,436
95,348
96,287
97,100
98,280
99,230
100,442
101,160
102,150
103,253
104,335
105,265
106,363
107,285
108,355
109,285
110,433
111,337
112,149
113,278
114,250
115,229
116,278
117,334
118,321
119,393
120,218
121,170
122,304
123,383
124,187
125,437
126,327
127,351
128,154
129,297
130,279
131,409
132,197
133,472
134,197
135,291
136,377
137,225
138,305
139,440
140,477
141,218
142,272
143,348
144,302
145,290
146,260
147,406
148,456
149,252
150,373
151,224
152,263
153,473
154,307
155,375
156,179
157,272
158,203
159,381
160,115
161,286
162,200
163,277
164,301
165,451
166,241
167,266
168,245
169,228
170,436
171,315
172,324
173,238
174,397
175,387
176,326
177,327
178,471
179,284
180,255
181,124
182,194
183,338
184,292
185,109
186,210
187,407
188,301
189,355
190,169
191,253
192,435
193,267
194,436
195,198
196,97
197,227
198,329
199,417
200,208
201,228
202,421
203,214
204,319
205,319
206,254
207,304
208,241
209,315
210,247
211,194
212,296
213,424
214,362
215,352
216,368
217,270
218,481
219,445
220,178
221,395
222,147
223,280
224,290
225,376
226,312
227,215
228,241
229,211
230,378
231,309
232,402
233,367
234,289
235,469
236,254
237,112
238,215
239,200
240,397
241,118
242,334
243,440
244,250
245,233
246,229
247,131
248,401
249,301
250,305
251,279
252,275
253,268
254,343
255,117
256,191
257,306
258,297
259,284
260,467
261,245
262,383
263,242
264,161
265,263
266,272
267,442
268,281
269,295
270,290
271,163
272,79
273,324
274,469
275,243
276,335
277,354
278,345
279,442
280,308
281,256
282,245
283,246
284,301
285,151
286,169
287,283
288,172
289,281
290,480
291,69
292,393
293,107
294,320
295,263
296,394
297,277
298,306
299,161
300,359
301,311
302,357
303,209
304,318
305,356
306,380
307,276
308,310
309,251
310,304
311,277
312,256
313,335
314,227
315,333
316,291
317,404
318,303
319,243
320,181
321,235
322,303
323,371
324,405
325,172
326,197
327,351
328,284
329,135
330,345
331,237
332,150
333,364
334,400
335,325
336,332
337,420
338,227
339,245
340,326
341,239
342,177
343,246
344,315
345,173
346,160
347,274
348,403
349,275
350,313
351,198
352,480
353,122
354,472
355,209
356,225
357,398
358,409
359,330
360,307
361,281
362,329
363,266
364,321
365,275
366,200
367,416
368,258
369,412
370,371
371,371
372,303
373,324
374,285
375,341
376,146
377,278
378,290
379,295
380,333
381,439
382,286
383,288
384,70
385,335
386,385
387,248
388,284
389,178
390,294
391,400
392,350
393,366
394,271
395,217
396,349
397,293
398,225
399,373
400,257
401,275
402,129
403,429
404,462
405,409
406,273
407,167
408,272
409,341
410,396
411,398
412,169
413,138
414,395
415,221
416,261
417,361
418,402
419,404
420,191
421,398
422,267
423,239
424,389
425,301
426,372
427,415
428,215
429,433
430,476
431,426
432,293
433,265
434,335
435,464
436,303
437,281
438,377
439,290
440,130
441,395
442,240
443,385
444,390
445,255
446,344
447,149
448,319
449,211
450,252
451,260
452,160
453,468
454,215
455,351
456,302
457,155
458,242
459,287
460,254
461,316
462,363
463,443
464,263
465,432
466,212
467,245
468,136
469,299
470,382
471,322
472,397
473,389
474,208
475,258
476,292
477,441
478,349
479,146
480,358
481,357
482,132
483,160
484,190
485,303
486,323
487,321
488,311
489,207
490,280
491,116
492,240
493,370
494,187
495,215
496,430
497,379
498,356
499,189
500,313
501,359
502,183
503,415
504,233
505,213
506,299
507,418
508,339
509,269
510,344
511,400
