,0
0,0.36661306
1,0.3572998
2,0.32234696
3,0.27984893
4,0.21427073
5,0.21344972
6,0.20986487
7,0.18827534
8,0.31329167
9,0.23258887
10,0.20496623
11,0.4559001
12,0.21440202
13,0.17355928
14,0.16457303
15,0.42815077
16,0.25062624
17,0.57117695
18,0.25350738
19,0.5712074
20,0.4115362
21,0.22013512
22,0.23098204
23,0.30880845
24,0.52886546
25,0.19483988
26,0.35557663
27,0.17033717
28,0.43964213
29,0.19643995
30,0.39671975
31,0.13687779
32,0.38272396
33,0.5084374
34,0.30324352
35,0.14211705
36,0.4175719
37,0.5232177
38,0.19458018
39,0.31489092
40,0.20015475
41,0.32780772
42,0.22316071
43,0.25756335
44,0.22053942
45,0.52902627
46,0.254919
47,0.4338344
48,0.20593862
49,0.34936106
50,0.16415116
51,0.48331457
52,0.19683269
53,0.36473286
54,0.42474282
55,0.5090805
56,0.49589837
57,0.20668209
58,0.39528638
59,0.5839181
60,0.41137397
61,0.5165538
62,0.21731167
63,0.5098573
64,0.34486687
65,0.45454127
66,0.29298496
67,0.14465237
68,0.24440882
69,0.49060977
70,0.23161092
71,0.18523437
72,0.33019182
73,0.45829767
74,0.17611986
75,0.33210832
76,0.5569109
77,0.23076303
78,0.20203684
79,0.45283985
80,0.22097549
81,0.20015803
82,0.14836659
83,0.20022187
84,0.3937754
85,0.19043419
86,0.30777168
87,0.46068883
88,0.464242
89,0.46074003
90,0.16481024
91,0.36462796
92,0.24466968
93,0.4678915
94,0.21821252
95,0.16595939
96,0.2841921
97,0.4006799
98,0.26405218
99,0.4821769
100,0.18825598
101,0.4739366
102,0.315431
103,0.5293941
104,0.18567963
105,0.541588
106,0.33965236
107,0.17182046
108,0.24071124
109,0.21233477
110,0.18963975
111,0.2939946
112,0.5366143
113,0.26931202
114,0.20074345
115,0.18370853
116,0.38993293
117,0.18775445
118,0.27826113
119,0.21813357
120,0.5323112
121,0.36823624
122,0.2724115
123,0.21128699
124,0.21775308
125,0.19111474
126,0.3635438
127,0.2595297
128,0.4031162
129,0.2111674
130,0.4992271
131,0.30516905
132,0.33314866
133,0.60830224
134,0.45063442
