,0
0,495
1,449
2,238
3,298
4,499
5,498
6,435
7,380
8,498
9,479
10,305
11,500
12,245
13,203
14,496
15,284
16,500
17,370
18,499
19,299
20,490
21,496
22,246
23,288
24,460
25,498
26,376
27,303
28,388
29,359
30,456
31,500
32,422
33,447
34,483
35,442
36,413
37,492
38,210
39,271
40,500
41,497
42,354
43,500
44,448
45,491
46,373
47,478
48,201
49,233
50,494
51,499
52,394
53,496
54,445
55,291
56,303
57,257
58,444
59,342
60,499
61,311
62,244
63,499
64,492
65,354
66,476
67,435
68,357
69,273
70,409
71,500
72,499
73,499
74,500
75,393
76,399
77,347
78,282
79,500
80,431
81,196
82,453
83,260
84,494
85,478
86,362
87,468
88,351
89,374
90,360
91,500
92,494
93,368
94,495
95,499
96,253
97,393
98,500
99,499
100,450
101,484
102,452
103,498
104,325
105,315
106,296
107,499
108,372
109,446
110,498
111,336
112,313
113,261
114,191
115,500
116,500
117,499
118,296
119,500
120,299
121,414
122,500
123,451
124,433
125,497
126,488
127,249
128,496
129,249
130,309
131,499
132,313
133,443
134,499
135,432
136,400
137,384
138,500
139,309
140,336
141,296
142,290
143,219
144,285
145,500
146,492
147,359
148,381
149,392
150,449
151,499
152,310
153,363
154,500
155,500
156,348
157,360
158,499
159,495
160,451
161,290
162,302
163,255
164,499
165,352
166,494
167,289
168,499
169,238
170,417
171,493
172,385
173,499
174,444
175,499
176,328
177,489
178,499
179,499
180,496
181,220
182,496
183,454
184,234
185,237
186,300
187,377
188,499
189,427
190,487
191,482
192,451
193,496
194,487
195,214
196,484
197,500
198,432
199,312
200,500
201,497
202,496
203,497
204,449
205,300
206,500
207,474
208,343
209,500
210,500
211,495
212,411
213,500
214,372
215,348
216,500
217,362
218,360
219,282
220,500
221,457
222,498
223,356
224,498
225,498
226,469
227,386
228,337
229,409
230,275
231,370
232,495
233,326
234,327
235,473
236,215
237,385
238,500
239,498
240,498
241,292
242,313
243,230
244,499
245,496
246,498
247,432
248,454
249,323
250,372
251,500
252,363
253,482
254,499
255,500
256,497
257,500
258,483
259,475
260,293
261,377
262,156
263,500
264,476
265,250
266,498
267,293
268,299
269,301
270,240
271,499
272,494
273,500
274,424
275,276
276,495
277,344
278,497
279,335
280,500
281,469
282,315
283,483
284,313
285,498
286,497
287,500
288,486
289,500
290,281
291,500
292,268
293,305
294,439
295,290
296,489
297,353
298,500
299,243
300,268
301,257
302,440
303,482
304,312
305,499
306,500
307,498
308,495
309,308
310,500
311,294
312,500
313,499
314,500
315,357
316,308
317,482
318,495
319,498
320,500
321,499
322,396
323,210
324,282
325,428
326,500
327,369
328,456
329,500
330,397
331,500
332,489
333,263
334,339
335,393
336,500
337,271
338,495
339,331
340,297
341,498
342,468
343,500
344,500
345,500
346,419
347,227
348,500
349,500
350,423
351,499
352,429
353,321
354,262
355,352
356,500
357,477
358,499
359,498
360,500
361,498
362,256
363,422
364,496
365,499
366,500
367,484
368,487
369,285
370,499
371,498
372,410
373,500
374,476
375,425
376,490
377,390
378,426
379,209
380,500
381,370
382,351
383,500
384,455
385,378
386,233
387,483
388,498
389,432
390,238
391,491
392,282
393,283
394,484
395,167
396,470
397,384
398,499
399,365
400,495
401,336
402,257
403,402
404,500
405,429
406,500
407,499
408,256
409,478
410,408
411,302
412,212
413,310
414,382
415,497
416,279
417,339
418,282
419,496
420,443
421,368
422,413
423,353
424,316
425,291
426,485
427,497
428,498
429,491
430,335
431,500
432,229
433,500
434,499
435,291
436,400
437,466
438,358
439,494
440,263
441,465
442,487
443,495
444,481
445,498
446,268
447,306
448,497
449,404
450,497
451,472
452,342
453,237
454,382
455,346
456,399
457,426
458,462
459,499
460,322
461,484
462,245
463,429
464,496
465,466
466,499
467,338
468,292
469,499
470,495
471,388
472,496
473,494
474,305
475,481
476,314
477,499
478,391
479,447
480,416
481,227
482,234
483,499
484,497
485,498
486,241
487,500
488,500
489,394
490,346
491,260
492,460
493,440
494,198
495,469
496,378
497,234
498,500
499,225
500,497
501,454
502,496
503,338
504,500
505,268
506,444
507,227
508,207
509,481
510,452
511,473
