,0
0,0.43435073
1,0.2584716
2,0.28322175
3,0.5053196
4,0.5313816
5,0.6510582
6,0.4443648
7,0.36155695
8,0.47451973
9,0.37052238
10,0.5174534
11,0.23058589
12,0.41032946
13,0.3852578
14,0.38608405
15,0.4363942
16,0.2584573
17,0.46041214
18,0.55407715
19,0.46132845
20,0.34873724
21,0.529801
22,0.39918792
23,0.19234395
24,0.27443403
25,0.17449239
26,0.36208117
27,0.36003193
28,0.36154783
29,0.28595802
30,0.5145116
31,0.33237997
32,0.35683662
33,0.2607798
34,0.29668257
35,0.250993
36,0.2811097
37,0.427567
38,0.49683118
39,0.26047143
40,0.39419842
41,0.27367142
42,0.20576517
43,0.3907483
44,0.2542574
45,0.4181013
46,0.26050332
47,0.36052585
48,0.62094176
49,0.4840274
50,0.37401813
51,0.12750523
52,0.4915741
53,0.48906234
54,0.19096904
55,0.45392102
56,0.4681521
57,0.38807774
58,0.40240443
59,0.43317682
60,0.27994287
61,0.19224925
62,0.23743965
63,0.26880893
64,0.09940846
65,0.19654828
66,0.4753557
67,0.4805215
68,0.30641222
69,0.51261914
70,0.27436805
71,0.34070837
72,0.33788687
73,0.5148463
74,0.53672475
75,0.4051432
76,0.22654077
77,0.30922458
78,0.30503744
79,0.20226792
80,0.4882096
81,0.4103049
82,0.22398672
83,0.3579242
84,0.4696815
85,0.4367098
86,0.51081973
87,0.2801044
88,0.40688467
89,0.2390925
90,0.28630283
91,0.3176828
92,0.36225188
93,0.39231402
94,0.55248624
95,0.37215284
96,0.19135313
97,0.46329075
98,0.24538067
99,0.48509625
100,0.388372
101,0.40317515
102,0.33606613
103,0.23227262
104,0.41981253
105,0.3417885
106,0.28232843
107,0.3333125
108,0.45304304
109,0.31179118
110,0.19589157
111,0.29216027
112,0.367123
113,0.38077798
114,0.41816622
115,0.38979715
116,0.43439353
117,0.43778783
118,0.4812132
119,0.40434742
120,0.4303217
121,0.41916838
122,0.2732446
123,0.21222846
124,0.46134728
125,0.41836435
126,0.40342528
127,0.31093022
128,0.50901854
129,0.19809917
130,0.21933529
131,0.3384077
132,0.45622087
133,0.35436472
134,0.31435335
135,0.59719425
136,0.30204892
137,0.50578845
138,0.3166378
139,0.41542143
140,0.5323267
141,0.29098332
142,0.3569766
143,0.36118382
144,0.1930142
145,0.36149603
146,0.33665442
147,0.4989757
148,0.4231877
149,0.3183084
150,0.39968434
151,0.27130714
152,0.19931385
153,0.49917215
154,0.4498809
155,0.20088324
156,0.40605783
157,0.1724149
158,0.5088667
159,0.5763905
160,0.35226756
161,0.4416614
162,0.48761606
163,0.47570762
164,0.38281643
165,0.30883622
166,0.34025115
167,0.30983883
168,0.4051577
169,0.4329521
170,0.45853955
171,0.40751302
172,0.36190557
173,0.3793699
174,0.49936324
175,0.22524756
176,0.5668346
177,0.36626488
178,0.49410465
179,0.39975592
180,0.3844842
181,0.48198992
182,0.5816178
183,0.40917748
184,0.3298937
185,0.2945361
186,0.41981566
187,0.49984765
188,0.4553092
189,0.42199543
190,0.3937497
191,0.54770553
192,0.37981847
193,0.49118888
194,0.36055183
195,0.44490618
196,0.41785815
197,0.36689198
198,0.2609169
199,0.5286304
200,0.4196685
201,0.25598875
202,0.17914312
203,0.38375705
204,0.23063543
205,0.56706643
206,0.37835938
207,0.28822467
208,0.19830911
209,0.3435917
210,0.45953035
211,0.3469041
212,0.45296326
213,0.25308383
214,0.5589627
215,0.2996044
216,0.33476347
217,0.58679813
218,0.2572509
219,0.30285728
