,0
0,242
1,300
2,408
3,465
4,334
5,498
6,267
7,494
8,365
9,307
10,450
11,280
12,499
13,423
14,388
15,292
16,388
17,500
18,376
19,297
20,284
21,499
22,484
23,410
24,316
25,421
26,490
27,476
28,499
29,470
30,342
31,402
32,426
33,485
34,456
35,433
36,475
37,310
38,498
39,500
40,499
41,447
42,496
43,499
44,469
45,499
46,476
47,308
48,489
49,500
50,287
51,336
52,498
53,499
54,366
55,499
56,496
57,303
58,266
59,414
60,273
61,456
62,492
63,324
64,464
65,480
66,359
67,471
68,391
69,491
70,488
71,377
72,273
73,496
74,384
75,500
76,326
77,500
78,285
79,425
80,458
81,313
82,363
83,389
84,465
85,500
86,500
87,491
88,484
89,483
90,494
91,442
92,435
93,498
94,489
95,352
96,375
97,367
98,305
99,500
100,500
101,312
102,448
103,445
104,384
105,498
106,491
107,500
108,500
109,497
110,332
111,500
112,315
113,383
114,499
115,500
116,495
117,307
118,499
119,499
120,500
121,498
122,396
123,500
124,334
125,499
126,447
127,398
128,336
129,404
130,499
131,413
132,500
133,348
134,327
135,295
136,443
137,224
138,500
139,422
140,321
141,437
142,498
143,452
144,451
145,311
146,469
147,315
148,364
149,367
150,369
151,401
152,496
153,340
154,499
155,461
156,500
157,338
158,334
159,498
160,500
161,380
162,497
163,345
164,498
165,422
166,422
167,500
168,500
169,497
170,489
171,285
172,460
173,500
174,496
175,492
176,314
177,415
178,376
179,499
180,368
181,499
182,497
183,484
184,353
185,458
186,407
187,429
188,201
189,274
190,409
191,284
192,384
193,334
194,445
195,386
196,464
197,498
198,335
199,436
200,229
201,389
202,336
203,495
204,337
205,394
206,357
207,422
208,454
209,403
210,413
211,496
212,500
213,363
214,497
215,499
216,500
217,498
218,499
219,498
220,369
221,499
222,500
223,404
224,471
225,485
226,499
227,311
228,500
229,393
230,497
231,324
232,322
233,364
234,497
235,486
236,406
237,401
238,302
239,499
240,365
241,456
242,361
243,334
244,231
245,500
246,267
247,280
248,364
249,492
250,426
251,355
252,500
253,409
254,500
255,400
256,497
257,428
258,353
259,386
260,494
261,500
262,360
263,499
264,340
265,482
266,286
267,322
268,495
269,433
270,444
271,305
272,500
273,299
274,394
275,499
276,477
277,383
278,491
279,496
280,401
281,499
282,300
283,499
284,379
285,329
286,500
287,500
288,342
289,296
290,390
291,499
292,500
293,491
294,484
295,498
296,473
297,371
298,425
299,414
300,497
301,499
302,462
303,498
304,468
305,311
306,454
307,304
308,491
309,483
310,347
311,419
312,499
313,500
314,359
315,334
316,347
317,424
318,481
319,340
320,247
321,288
322,490
323,400
324,415
325,500
326,497
327,499
328,462
329,484
330,498
331,465
332,500
333,499
334,289
335,500
336,319
337,499
338,187
339,496
340,486
341,498
342,334
343,383
344,487
345,496
346,500
347,430
348,328
349,494
350,421
351,329
352,498
353,368
354,256
355,490
356,500
357,382
358,388
359,345
360,285
361,366
362,371
363,494
364,361
365,345
366,500
367,303
368,347
369,499
370,497
371,500
372,497
373,347
374,490
375,438
376,500
377,493
378,494
379,485
380,406
381,499
382,303
383,486
384,393
385,500
386,499
387,304
388,500
389,500
390,498
391,497
392,271
393,319
394,499
395,500
396,324
397,495
398,410
399,481
400,403
401,413
402,499
403,498
404,370
405,497
406,486
407,190
408,408
409,401
410,421
411,336
412,492
413,365
414,423
415,461
416,480
417,432
418,500
419,382
420,341
421,496
422,303
423,452
424,499
425,318
426,500
427,388
428,500
429,466
430,374
431,499
432,467
433,463
434,341
435,360
436,496
437,483
438,297
439,393
440,490
441,494
442,462
443,341
444,473
445,500
446,500
447,500
448,499
449,368
450,417
451,444
452,470
453,422
454,500
455,430
456,427
457,401
458,259
459,348
460,473
461,500
462,386
463,479
464,165
465,457
466,456
467,453
468,500
469,365
470,469
471,472
472,500
473,466
474,499
475,500
476,328
477,375
478,393
479,443
480,471
481,500
482,497
483,266
484,357
485,279
486,412
487,295
488,427
489,279
490,436
491,492
492,416
493,351
494,495
495,354
496,500
497,496
498,445
499,303
500,497
501,349
502,414
503,448
504,287
505,500
506,411
507,499
508,432
509,338
510,272
511,473
