,0
0,390
1,347
2,347
3,344
4,386
5,168
6,462
7,302
8,286
9,448
10,397
11,312
12,310
13,313
14,426
15,350
16,457
17,85
18,466
19,193
20,406
21,207
22,251
23,353
24,368
25,242
26,179
27,376
28,95
29,157
30,453
31,385
32,385
33,234
34,369
35,346
36,371
37,410
38,212
39,172
40,414
41,431
42,200
43,182
44,223
45,277
46,128
47,401
48,106
49,342
50,402
51,291
52,156
53,214
54,317
55,311
56,350
57,306
58,343
59,410
60,404
61,172
62,201
63,424
64,311
65,236
66,233
67,424
68,462
69,143
70,329
71,387
72,408
73,222
74,442
75,94
76,416
77,322
78,165
79,443
80,429
81,168
82,407
83,352
84,255
85,246
86,370
87,230
88,349
89,400
90,256
91,393
92,413
93,283
94,248
95,417
96,363
97,273
98,440
99,244
100,128
101,282
102,404
103,459
104,242
105,118
106,160
107,237
108,363
109,183
110,390
111,193
112,286
113,320
114,275
115,237
116,288
117,439
118,185
119,400
120,288
121,271
122,465
123,239
124,417
125,289
126,333
127,405
128,368
129,171
130,98
131,420
132,347
133,436
134,334
135,406
136,178
137,391
138,195
139,340
140,189
141,303
142,144
143,356
144,329
145,444
146,321
147,340
148,326
149,377
150,340
151,347
152,99
153,286
154,285
155,340
156,322
157,389
158,434
159,221
160,194
161,369
162,327
163,233
164,233
165,354
166,397
167,220
168,367
169,123
170,304
171,440
172,257
173,390
174,179
175,306
176,344
177,279
178,424
179,239
180,454
181,282
182,218
183,187
184,339
185,349
186,238
187,141
188,432
189,343
190,440
191,201
192,367
193,433
194,272
195,322
196,256
197,320
198,446
199,363
200,375
201,399
202,416
203,303
204,466
205,369
206,436
207,422
208,188
209,421
210,319
211,299
212,270
213,401
214,147
215,51
216,156
217,161
218,303
219,183
220,448
221,191
222,402
223,401
224,453
225,386
226,315
227,392
228,303
229,259
230,283
231,308
232,201
233,329
234,280
235,454
236,192
237,399
238,456
239,390
240,344
241,394
242,344
243,359
244,337
245,411
246,416
247,312
248,175
249,172
250,252
251,428
252,159
253,228
254,275
255,406
256,262
257,441
258,396
259,431
260,307
261,162
262,374
263,232
264,436
265,290
266,449
267,367
268,143
269,246
270,339
271,402
272,405
273,409
274,375
275,111
276,254
277,384
278,269
279,144
280,442
281,243
282,384
283,229
284,359
285,352
286,174
287,437
288,392
289,439
290,211
291,208
292,317
293,167
294,167
295,251
296,327
297,191
298,355
299,339
300,186
301,151
302,341
303,191
304,175
305,264
306,454
307,454
308,231
309,357
310,436
311,428
312,253
313,263
314,397
315,423
316,227
317,270
318,342
319,386
320,386
321,418
322,177
323,305
324,355
325,403
326,359
327,144
328,250
329,190
330,259
331,178
332,397
333,89
334,150
335,176
336,458
337,321
338,444
339,180
340,314
341,247
342,358
343,378
344,474
345,258
346,363
347,351
348,309
349,297
350,238
351,435
352,245
353,194
354,187
355,373
356,226
357,457
358,336
359,409
360,416
361,324
362,404
363,313
364,395
365,299
366,250
367,413
368,441
369,302
370,277
371,429
372,385
373,467
374,417
375,394
376,400
377,381
378,87
379,285
380,367
381,154
382,212
383,311
384,301
385,313
386,139
387,453
388,272
389,272
390,174
391,417
392,227
393,387
394,382
395,321
396,289
397,375
398,307
399,291
400,446
401,138
402,261
403,217
404,339
405,300
406,340
407,434
408,360
409,269
410,428
411,145
412,312
413,301
414,303
415,383
416,339
417,303
418,320
419,392
420,431
421,135
422,337
423,235
424,178
425,291
426,338
427,423
428,208
429,364
430,358
431,188
432,118
433,418
434,285
435,348
436,190
437,360
438,296
439,344
440,241
441,294
442,390
443,379
444,406
445,385
446,102
447,253
448,229
449,348
450,383
451,384
452,196
453,284
454,287
455,284
456,393
457,376
458,447
459,431
460,159
461,343
462,220
463,400
464,452
465,398
466,304
467,264
468,209
469,452
470,351
471,340
472,445
473,218
474,331
475,425
476,333
477,216
478,436
479,366
480,319
481,335
482,96
483,405
484,447
485,429
486,256
487,399
488,403
489,402
490,374
491,298
492,264
493,390
494,152
495,392
496,225
497,316
498,214
499,316
500,208
501,324
502,406
503,173
504,433
505,280
506,392
507,270
508,294
509,451
510,266
511,205
